"Mollic epipedon"|0|0|0|20|36|91|20|36|91|"22245115"|"12593544"
"Slickensides"|20|36|91|100|104|152|9|68|132|"22245115"|"12593545"
"Cambic horizon"|30|44|76|203|203|203|127|159|173|"22245042"|"12593507"
"Calcic horizon"|104|133|137|203|203|203|66|70|99|"22245042"|"12593508"
"Mollic epipedon"|0|0|0|104|133|137|104|133|137|"22245042"|"12593505"
"Slickensides"|30|44|76|203|203|203|127|159|173|"22245042"|"12593506"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"22244641"|"12593004"
"Mollic epipedon"|0|0|0|20|36|91|20|36|91|"22244641"|"12593002"
"Slickensides"|20|36|91|100|104|152|9|68|132|"22244641"|"12593003"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"22245064"|"12593521"
"Mollic epipedon"|0|0|0|25|36|51|25|36|51|"22245064"|"12593520"
"Aquic conditions"|0|0|0|152|152|152|152|152|152|"22245068"|"12593523"
"Ochric epipedon"|0|0|0|15|46|51|15|46|51|"22245068"|"12593522"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"22244686"|"12593080"
"Ochric epipedon"|0|0|0|8|15|46|8|15|46|"22244686"|"12593079"
"n value > 0.7"|0|0|0|8|15|46|8|15|46|"22244686"|"12593078"
"Cambic horizon"|64|76|165|203|203|203|38|127|139|"22244717"|"12593127"
"Aquic conditions"|0|0|0|203|203|203|203|203|203|"22244717"|"12593128"
"Mollic epipedon"|0|0|0|64|76|165|64|76|165|"22244717"|"12593126"
"Ochric epipedon"|0|0|0|13|13|41|13|13|41|"22244505"|"12592817"
"Endosaturation"|13|13|41|203|203|203|162|190|190|"22244505"|"12592818"
"Ochric epipedon"|0|0|0|13|32|33|13|32|33|"22244690"|"12593081"
"Redox concentrations"|13|32|33|203|203|203|170|171|190|"22244690"|"12593083"
"Endosaturation"|13|32|33|203|203|203|170|171|190|"22244690"|"12593082"
"Cambic horizon"||23|||203|||180||"22245073"|"12593525"
"Ochric epipedon"||0|||23|||23||"22245073"|"12593524"
"Slickensides"||89|||203|||114||"22245073"|"12593526"
"Mollic epipedon"|0|0|0|46|79|79|46|79|79|"22244998"|"12593474"
"Argillic horizon"|11|15|33|203|203|203|170|188|192|"22244998"|"12593475"
"Secondary carbonates"|94|127|172|203|203|203|31|76|109|"22244538"|"12592869"
"Ochric epipedon"|0|0|0|10|23|25|10|23|25|"22244538"|"12592867"
"Argillic horizon"|10|23|25|203|203|203|178|180|193|"22244538"|"12592868"
"Mollic epipedon"|0|0|0|46|79|79|46|79|79|"22244539"|"12592870"
"Argillic horizon"|11|15|33|203|203|203|170|188|192|"22244539"|"12592871"
"Ochric epipedon"|0|0|0|5|22|48|5|22|48|"22245179"|"12593621"
"Endosaturation"|91|146|168|203|203|203|35|57|112|"22245179"|"12593622"
