"CH"|No |"65748454"|"122580912"
"CL"|Yes|"65748454"|"122580913"
"CH"|Yes|"65748417"|"122580851"
"CH"|No |"65748793"|"122581562"
"SC"|Yes|"65748793"|"122581561"
"CL"|Yes|"65748524"|"122581025"
"CH"|Yes|"65748476"|"122580951"
"CL"|No |"65748516"|"122581011"
"SC"|Yes|"65748516"|"122581012"
"CH"|Yes|"65748579"|"122581109"
"CH"|Yes|"65748498"|"122580985"
"CH"|Yes|"65748480"|"122580955"
"CH"|Yes|"65748553"|"122581070"
"CH"|Yes|"65748590"|"122581128"
"CH"|No |"65748475"|"122580950"
"CL"|Yes|"65748475"|"122580949"
"CH"|No |"65748505"|"122580996"
"CL"|Yes|"65748505"|"122580995"
"CL"|Yes|"65748428"|"122580870"
"SP-SM"|Yes|"65748642"|"122581223"
"SP"|No |"65748642"|"122581222"
"CL"|Yes|"65748509"|"122581000"
"ML"|No |"65748509"|"122581001"
"CH"|Yes|"65748439"|"122580888"
"CL"|Yes|"65748483"|"122580960"
"CL"|Yes|"65748568"|"122581094"
"CH"|Yes|"65748605"|"122581154"
"CH"|No |"65748465"|"122580935"
"CL"|Yes|"65748465"|"122580936"
"CL"|Yes|"65748616"|"122581165"
"CH"|No |"65748564"|"122581087"
"CL"|Yes|"65748564"|"122581088"
"CH"|No |"65748794"|"122581564"
"CL"|Yes|"65748794"|"122581563"
"CL"|Yes|"65748512"|"122581004"
"ML"|No |"65748512"|"122581005"
"CH"|Yes|"65748575"|"122581105"
"CH"|No |"65748472"|"122580945"
"CL"|Yes|"65748472"|"122580944"
"CL"|Yes|"65748825"|"122581617"
"SC"|No |"65748825"|"122581618"
"CL"|Yes|"65748491"|"122580975"
"CH"|No |"65748597"|"122581136"
"CL"|Yes|"65748597"|"122581137"
"CL"|Yes|"65748816"|"122581602"
"ML"|No |"65748816"|"122581601"
"CH"|No |"65748814"|"122581597"
"CL"|Yes|"65748814"|"122581598"
"CH"|Yes|"65748413"|"122580846"
"CL"|No |"65748413"|"122580847"
"CH"|No |"65748653"|"122581239"
"CL"|Yes|"65748653"|"122581238"
"CH"|No |"65748523"|"122581024"
"CL"|Yes|"65748523"|"122581023"
"SP"|Yes|"65748803"|"122581579"
