"smectitic"|"22245265"|"17537015"
"siliceous"|"22245268"|"17537016"
"smectitic"|"22244875"|"17536971"
"smectitic"|"22244878"|"17536972"
"smectitic"|"22244544"|"17536938"
"smectitic"|"22244546"|"17536939"
"mixed"|"22244825"|"17536960"
"smectitic"|"22244848"|"17536962"
"siliceous"|"22244850"|"17536963"
"smectitic"|"22244534"|"17536933"
"siliceous"|"22244535"|"17536934"
"mixed"|"22244984"|"17536977"
"smectitic"|"22244985"|"17536978"
"mixed"|"22244852"|"17536964"
"mixed"|"22244853"|"17536965"
"mixed"|"22244854"|"17536966"
"smectitic"|"22244855"|"17536967"
"smectitic"|"22244856"|"17536968"
"smectitic"|"22244858"|"17536969"
"smectitic"|"22244859"|"17536970"
"mixed"|"22245182"|"17537011"
"mixed"|"22245183"|"17537012"
"mixed"|"22245184"|"17537013"
"smectitic"|"22244634"|"17536940"
"mixed"|"22244635"|"17536941"
"smectitic"|"22244636"|"17536942"
"smectitic"|"22244637"|"17536943"
"smectitic"|"22244638"|"17536944"
"mixed"|"22244639"|"17536945"
"smectitic"|"22244640"|"17536946"
"mixed"|"22244988"|"17536979"
"montmorillonitic"|"22244446"|"17536920"
"montmorillonitic"|"22244447"|"17536921"
"mixed"|"22245015"|"17536987"
"smectitic"|"22245016"|"17536988"
"montmorillonitic"|"22244941"|"17536975"
"siliceous"|"22245079"|"17537004"
"smectitic"|"22244844"|"17536961"
"smectitic"|"22244971"|"17536976"
"smectitic"|"22245270"|"17537017"
"smectitic"|"22245274"|"17537018"
"mixed"|"22244451"|"17536922"
"montmorillonitic"|"22244761"|"17536954"
"montmorillonitic"|"22244762"|"17536955"
"mixed"|"22244763"|"17536956"
"montmorillonitic"|"22244764"|"17536957"
"mixed"|"22244452"|"17536923"
"mixed"|"22244453"|"17536924"
"montmorillonitic"|"22244454"|"17536925"
"mixed"|"22244993"|"17536980"
"mixed"|"22245011"|"17536983"
"mixed"|"22245012"|"17536984"
"mixed"|"22245013"|"17536985"
"mixed"|"22245014"|"17536986"
"mixed"|"22245294"|"17537019"
"mixed"|"22245295"|"17537020"
"mixed"|"22245297"|"17537021"
"smectitic"|"22244888"|"17536973"
"smectitic"|"22244889"|"17536974"
"mixed"|"22245056"|"17536991"
"smectitic"|"22245059"|"17536992"
"mixed"|"22245060"|"17536993"
"mixed"|"22245113"|"17537005"
"mixed"|"22245114"|"17537006"
"smectitic"|"22245115"|"17537007"
"smectitic"|"22245042"|"17536989"
"smectitic"|"22245043"|"17536990"
"montmorillonitic"|"22244768"|"17536958"
"mixed"|"22244769"|"17536959"
"smectitic"|"22244641"|"17536947"
"smectitic"|"22245064"|"17536994"
"smectitic"|"22245065"|"17536995"
"mixed"|"22245066"|"17536996"
"mixed"|"22245067"|"17536997"
"mixed"|"22244437"|"17536917"
"mixed (calcareous)"|"22244438"|"17536918"
"mixed"|"22245068"|"17536998"
"mixed"|"22245069"|"17536999"
"smectitic"|"22245070"|"17537000"
"smectitic"|"22245071"|"17537001"
"mixed"|"22245072"|"17537002"
"smectitic"|"22244686"|"17536948"
"mixed"|"22244717"|"17536950"
"smectitic"|"22244718"|"17536951"
"smectitic"|"22244719"|"17536952"
"mixed"|"22244720"|"17536953"
"mixed"|"22244505"|"17536926"
"mixed"|"22244506"|"17536927"
"smectitic"|"22244507"|"17536928"
"smectitic"|"22244508"|"17536929"
"smectitic"|"22244509"|"17536930"
"smectitic"|"22244510"|"17536931"
"smectitic"|"22244511"|"17536932"
"mixed"|"22244690"|"17536949"
"mixed"|"22245186"|"17537014"
"smectitic"|"22245073"|"17537003"
"smectitic"|"22244998"|"17536981"
"siliceous"|"22245002"|"17536982"
"smectitic"|"22244538"|"17536935"
"smectitic"|"22244539"|"17536936"
"siliceous"|"22244543"|"17536937"
"montmorillonitic"|"22244439"|"17536919"
"mixed"|"22245179"|"17537008"
"mixed"|"22245180"|"17537009"
"mixed"|"22245181"|"17537010"
