"Ochric epipedon"|0|0|0|18|33|36|18|33|36|"23051584"|"13312386"
"Argillic horizon"|18|33|36|200|200|200|164|167|182|"23051584"|"13312387"
"Ochric epipedon"|0|0|0|20|27|55|20|27|55|"23051585"|"13312389"
"Argillic horizon"|20|27|55|200|200|200|145|173|180|"23051585"|"13312388"
"Strongly contrasting particle size class"|36|78|99|||||||"23051585"|"13312390"
"Lithic contact"|10|33|51|||||||"23051586"|"13312392"
"Mollic epipedon"|0|0|0|5|10|25|5|10|25|"23051586"|"13312391"
"Lithic contact"|51|91|102|||||||"23051587"|"13312394"
"Ochric epipedon"|0|0|0|8|13|33|8|13|33|"23051587"|"13312393"
"Argillic horizon"|8|13|33|51|91|102|18|78|94|"23051587"|"13312395"
"Redox depletions with chroma 2 or less"|46|69|91|51|91|102||22||"23051587"|"13312396"
"Ochric epipedon"|0|0|0|40|46|50|40|46|50|"23051588"|"13312397"
"Argillic horizon"|40|46|50|200|200|200|150|154|160|"23051588"|"13312398"
"Cambic horizon"|25|66|66|112|147|180|46|81|155|"23051589"|"13312400"
"Ochric epipedon"|0|0|0|25|66|66|25|66|66|"23051589"|"13312399"
"Ochric epipedon"|0|0|0|10|13|23|10|13|23|"23051590"|"13312401"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051591"|"13312402"
"Argillic horizon"|10|25|28|58|91|122|30|66|92|"23051591"|"13312403"
"Ochric epipedon"|0|0|0|10|20|23|10|20|23|"23051592"|"13312404"
"Argillic horizon"|10|20|23|75|94|100|52|74|90|"23051592"|"13312405"
"Aquic conditions"|0|15|25|200|200|200||185||"23051593"|"13312408"
"Ochric epipedon"|0|0|0|60|66|70|60|66|70|"23051593"|"13312406"
"Argillic horizon"|60|66|70|200|200|200|130|134|140|"23051593"|"13312407"
"Ochric epipedon"|0|0|0|10|25|30|10|25|30|"23051594"|"13312409"
"Argillic horizon"|10|25|30|200|200|200|122|175|190|"23051594"|"13312410"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051595"|"13312411"
"Argillic horizon"|10|25|28|58|91|122|30|66|92|"23051595"|"13312412"
"Ochric epipedon"|0|0|0|18|41|45|18|41|41|"23051596"|"13312414"
"Argillic horizon"|18|41|41|43|119|145|2|78|101|"23051596"|"13312413"
"Cambic horizon"|25|66|66|112|147|180|46|81|155|"23051597"|"13312416"
"Ochric epipedon"|0|0|0|25|66|66|25|66|66|"23051597"|"13312415"
"Ochric epipedon"|0|0|0|10|25|28|10|25|28|"23051598"|"13312417"
"Argillic horizon"|10|25|28|58|91|122|30|66|92|"23051598"|"13312418"
"Ochric epipedon"|0|0|0|10|20|23|10|20|23|"23051599"|"13312419"
"Argillic horizon"|10|20|23|75|94|100|52|74|90|"23051599"|"13312420"
"Aquic conditions"|0|0|0|200|200|200|200|200|200|"23051600"|"13312423"
