"4"|"21851288"|"4909806"
"2"|"21851288"|"4909807"
"2"|"21851291"|"4909808"
"3"|"21851291"|"4909809"
"2"|"21851296"|"4909810"
"3"|"21851296"|"4909811"
"2"|"21851298"|"4909812"
"3"|"21851298"|"4909813"
"2"|"21851302"|"4909814"
"3"|"21851302"|"4909815"
"2"|"21851304"|"4909816"
"3"|"21851304"|"4909817"
"2"|"21851306"|"4909818"
"4"|"21851306"|"4909819"
"2"|"21851308"|"4909820"
"4"|"21851308"|"4909821"
"2"|"21851310"|"4909822"
"2"|"21851314"|"4909823"
"3"|"21851314"|"4909824"
"2"|"21851315"|"4909825"
"4"|"21851315"|"4909826"
"2"|"21851317"|"4909827"
"3"|"21851317"|"4909828"
"4"|"21851317"|"4909829"
"4"|"21851318"|"4909830"
"2"|"21851319"|"4909831"
"3"|"21851319"|"4909832"
"4"|"21851319"|"4909833"
"4"|"21851321"|"4909834"
"2"|"21851323"|"4909835"
"3"|"21851323"|"4909836"
"2"|"21851325"|"4909837"
"3"|"21851325"|"4909838"
"4"|"21851325"|"4909839"
"2"|"21851326"|"4909840"
"2"|"21851327"|"4909841"
"2"|"21851328"|"4909842"
"3"|"21851328"|"4909843"
"4"|"21851328"|"4909844"
"2"|"21851330"|"4909845"
"2"|"21851334"|"4909846"
"2"|"21851337"|"4909847"
"2"|"21851340"|"4909848"
"2"|"21851341"|"4909849"
"3"|"21851341"|"4909850"
"2"|"21851342"|"4909851"
"2"|"21851343"|"4909852"
"3"|"21851343"|"4909853"
"4"|"21851343"|"4909854"
"2"|"21851344"|"4909855"
"3"|"21851344"|"4909856"
"2"|"21851346"|"4909857"
"4"|"21851346"|"4909858"
"2"|"21851348"|"4909859"
"3"|"21851348"|"4909860"
"4"|"21851348"|"4909861"
"2"|"21851350"|"4909862"
"3"|"21851350"|"4909863"
"2"|"21851351"|"4909864"
"2"|"21851353"|"4909865"
"3"|"21851353"|"4909866"
"4"|"21851353"|"4909867"
"4"|"21851354"|"4909868"
"2"|"21851355"|"4909869"
"3"|"21851355"|"4909870"
"2"|"21851358"|"4909871"
"3"|"21851358"|"4909872"
"2"|"21851362"|"4909873"
"2"|"21851363"|"4909874"
"2"|"21851364"|"4909875"
"3"|"21851364"|"4909876"
"2"|"21851368"|"4909877"
"3"|"21851368"|"4909878"
"4"|"21851370"|"4909879"
"2"|"21851371"|"4909880"
"3"|"21851371"|"4909881"
"4"|"21851371"|"4909882"
"4"|"21851372"|"4909883"
"4"|"21851374"|"4909884"
"2"|"21851375"|"4909885"
"4"|"21851375"|"4909886"
"2"|"21851376"|"4909887"
"3"|"21851376"|"4909888"
"2"|"21851378"|"4909889"
"2"|"21851379"|"4909890"
"3"|"21851379"|"4909891"
"2"|"21851381"|"4909892"
"3"|"21851381"|"4909893"
"4"|"21851381"|"4909894"
"4"|"21851382"|"4909895"
"2"|"21851385"|"4909896"
"2"|"21851386"|"4909897"
"3"|"21851386"|"4909898"
"2"|"21851388"|"4909899"
"2"|"21851391"|"4909900"
"3"|"21851391"|"4909901"
"2"|"21851393"|"4909902"
"2"|"21851396"|"4909903"
"3"|"21851396"|"4909904"
"2"|"21851397"|"4909905"
"3"|"21851400"|"4909906"
"4"|"21851400"|"4909907"
"2"|"21851400"|"4909908"
"2"|"21851401"|"4909909"
"4"|"21851403"|"4909910"
"2"|"21851403"|"4909911"
"2"|"21851404"|"4909912"
"2"|"21851405"|"4909913"
"4"|"21851405"|"4909914"
"2"|"21851406"|"4909915"
"2"|"21851407"|"4909916"
"3"|"21851407"|"4909917"
