||"Riser"||"33938183"|"12982665"
||"Tread"||"33938179"|"12982661"
||"Tread"||"33938109"|"12982654"
|||"Dip"|"33938157"|"12982655"
||"Tread"||"33938098"|"12982649"
|||"Rise"|"33938172"|"12982656"
||"Tread"||"33938176"|"12982658"
||"Tread"||"33938187"|"12982669"
||"Tread"||"33938102"|"12982651"
||"Tread"||"33938178"|"12982660"
||"Tread"||"33938191"|"12982671"
||"Riser"||"33938180"|"12982662"
||"Riser"||"33938182"|"12982664"
||"Tread"||"33938086"|"12982648"
|||"Rise"|"33938084"|"12982646"
||"Tread"||"33938108"|"12982653"
||"Tread"||"33938104"|"12982652"
||"Riser"||"33938181"|"12982663"
||"Tread"||"33938177"|"12982659"
|||"Rise"|"33938085"|"12982647"
||"Tread"||"33938188"|"12982670"
||"Tread"||"33938184"|"12982666"
|||"Dip"|"33938101"|"12982650"
||"Tread"||"33938185"|"12982667"
||"Tread"||"33938196"|"12982672"
||"Tread"||"33938186"|"12982668"
|||"Rise"|"33938175"|"12982657"
