"Sandy clay loam"||"132631902"|"134900006"
"Loamy fine sand"||"132631416"|"134900167"
"Sandy clay loam"||"132632383"|"134902130"
"Clay loam"||"132632534"|"134901879"
"Clay"||"132633389"|"134900518"
"Silty clay"||"132631648"|"134902168"
"Silty clay"||"132633384"|"134900775"
"Sandy clay loam"||"132631906"|"134900157"
"Clay loam"||"132633415"|"134902105"
"Clay"||"132631424"|"134901911"
"Clay loam"||"132632355"|"134902115"
"Clay loam"||"132631333"|"134902139"
"Loam"||"132633248"|"134901998"
"Clay"||"132632539"|"134901812"
"Fine sandy loam"||"132632028"|"134899870"
"Loam"||"132633421"|"134900444"
"Silty clay loam"||"132632248"|"134899990"
"Sandy clay loam"||"132632967"|"134900786"
"Silty clay"||"132631427"|"134901429"
"Clay loam"||"132633373"|"134900860"
"Sandy clay"||"132632394"|"134900469"
"Very fine sandy loam"||"132633259"|"134900383"
"Sandy clay"||"132633410"|"134902107"
"Loamy sand"||"132633315"|"134901255"
"Silt loam"||"132631784"|"134901456"
"Clay loam"||"132631917"|"134902056"
"Silty clay loam"||"132632249"|"134900727"
"Sandy clay"||"132632923"|"134900434"
"Fine sand"||"132633241"|"134900517"
"Sandy clay loam"||"132631331"|"134902138"
"Clay loam"||"132631910"|"134902063"
"Clay loam"||"132631426"|"134901912"
"Clay loam"||"132632402"|"134901872"
"Loam"||"132632542"|"134902046"
"Silty clay loam"||"132633267"|"134900524"
"Loam"||"132632969"|"134900649"
"Very fine sandy loam"||"132632965"|"134900532"
"Clay"||"132633176"|"134902051"
"Fine sandy loam"||"132633019"|"134901246"
"Clay loam"||"132631920"|"134902062"
"Clay"||"132633370"|"134900144"
"Loam"||"132632531"|"134902182"
"Loam"||"132632956"|"134900904"
"Silty clay loam"||"132633381"|"134900896"
"Fine sandy loam"||"132633407"|"134902104"
"Fine sandy loam"||"132633718"|"134900983"
"Silty clay"||"132631425"|"134901428"
"Clay"||"132632428"|"134900168"
"Fine sandy loam"||"132631899"|"134900723"
"Sandy clay loam"||"132632391"|"134902175"
"Clay loam"||"132632027"|"134900171"
"Silty clay loam"||"132633278"|"134900902"
"Sandy clay loam"||"132632238"|"134902124"
"Silty clay"||"132631644"|"134902120"
"Clay"||"132632538"|"134902045"
"Sandy clay"||"132632228"|"134902122"
"Clay"||"132631895"|"134899984"
"Loam"||"132632216"|"134900450"
"Clay"||"132631953"|"134900894"
"Silty clay loam"||"132632958"|"134900903"
"Clay"||"132632413"|"134901776"
"Clay loam"||"132633177"|"134900427"
"Clay loam"||"132633396"|"134900768"
"Loam"||"132633403"|"134900443"
"Very fine sandy loam"||"132632387"|"134902079"
"Sandy clay loam"||"132633725"|"134901007"
"Sandy clay loam"||"132631341"|"134902179"
"Sandy clay loam"||"132632217"|"134902162"
"Clay loam"||"132633322"|"134901392"
"Clay loam"||"132632376"|"134902081"
"Clay loam"||"132631905"|"134900005"
"Silty clay"||"132633166"|"134900505"
"Fine sandy loam"||"132632365"|"134901390"
"Clay"||"132631342"|"134902086"
"Silty clay loam"||"132633385"|"134900638"
"Sandy clay loam"||"132633414"|"134902058"
"Loam"||"132632239"|"134902172"
"Clay"||"132631780"|"134901933"
"Loam"||"132631673"|"134900017"
"Clay"||"132632227"|"134902074"
"Clay loam"||"132632218"|"134902163"
"Sandy clay loam"||"132631330"|"134901882"
"Silt loam"||"132633252"|"134901521"
"Silt loam"||"132633263"|"134900642"
"Clay"||"132631884"|"134900858"
"Sandy clay loam"||"132633181"|"134900430"
"Clay loam"||"132631904"|"134899704"
"Very fine sandy loam"||"132632231"|"134902171"
"Fine sandy loam"||"132632393"|"134902173"
"Clay"||"132632213"|"134902065"
"Clay loam"||"132631915"|"134902034"
"Sandy clay"||"132632377"|"134902128"
"Silt loam"||"132632952"|"134900781"
"Clay loam"||"132633013"|"134901395"
"Silt loam"||"132633258"|"134901519"
"Silty clay loam"||"132633253"|"134901999"
"Clay loam"||"132633722"|"134901134"
"Silty clay loam"||"132632962"|"134900648"
"Silty clay loam"||"132632950"|"134900529"
"Loam"||"132632973"|"134900531"
"Fine sandy loam"||"132632403"|"134902083"
