"Fragipan"|"noncoherent"|66|76|89|200|200|200|111|124|134|"23399028"|"6589824"
"Fragipan"|"noncoherent"|43|69|107|93|132|200|50|63|157|"23399029"|"6589825"
"Fragipan"|"noncoherent"|66|76|89|200|200|200|111|124|134|"23399045"|"6589826"
"Fragipan"|"noncoherent"|41|66|104|91|132|203|50|66|162|"23399048"|"6589827"
"Natric"|"noncoherent"|13|38|46|71|200|200|25|162|187|"23399049"|"6589828"
"Fragipan"|"noncoherent"|46|51|94|114|155|200|67|104|106|"23399052"|"6589829"
"Fragipan"|"noncoherent"|59|69|79|160|170|180|81|101|121|"23399053"|"6589830"
"Fragipan"|"noncoherent"|127|143|183|203|203|203|20|60|76|"23399064"|"6589831"
"Fragipan"|"noncoherent"|66|76|89|200|200|200|111|124|134|"23399065"|"6589832"
"Fragipan"|"noncoherent"|46|51|94|100|114|135|6|63|89|"23399067"|"6589833"
"Fragipan"|"noncoherent"|56|66|76|181|191|201|105|125|145|"23399081"|"6589834"
"Natric"|"noncoherent"|30|58|102|113|183|200|83|125|170|"23399092"|"6589835"
"Natric"|"noncoherent"|8|18|30|183|183|183|153|165|175|"23399093"|"6589836"
