||"Tread"||"33951348"|"12988473"
|||"Dip"|"33951071"|"12988228"
||"Tread"||"33951311"|"12988436"
|"Interfluve"|||"33951274"|"12988396"
|||"Talf"|"33951093"|"12988248"
|"Base Slope"|||"33951278"|"12988400"
|"Side Slope"|||"33951359"|"12988484"
|||"Dip"|"33951072"|"12988229"
|||"Dip"|"33952322"|"12988608"
|"Side Slope"|||"33951252"|"12988374"
|"Interfluve"|||"33952032"|"12988542"
||"Tread"||"33951300"|"12988423"
|||"Rise"|"33951130"|"12988285"
|||"Talf"|"33951149"|"12988304"
|"Side Slope"|||"33951362"|"12988487"
||"Tread"||"33951333"|"12988458"
|"Side Slope"|||"33951363"|"12988488"
||"Tread"||"33951178"|"12988328"
||"Tread"||"33951337"|"12988462"
|||"Rise"|"33951230"|"12988351"
|||"Talf"|"33951167"|"12988319"
|||"Dip"|"33951241"|"12988362"
|||"Talf"|"33951156"|"12988309"
|"Interfluve"|||"33951293"|"12988415"
|||"Dip"|"33951061"|"12988219"
|||"Rise"|"33951119"|"12988274"
|"Side Slope"|||"33952323"|"12988609"
|||"Rise"|"33951160"|"12988313"
|||"Rise"|"33951108"|"12988263"
|||"Flat"|"33952213"|"12988564"
|||"Flat"|"33951899"|"12988523"
|||"Talf"|"33951082"|"12988237"
|"Side Slope"|||"33951267"|"12988389"
|"Side Slope"|||"33951285"|"12988407"
|"Side Slope"|||"33952333"|"12988617"
||"Tread"||"33951215"|"12988342"
||"Tread"||"33951304"|"12988428"
||"Tread"||"33951322"|"12988447"
|"Interfluve"|||"33951256"|"12988378"
||"Tread"||"33951319"|"12988444"
|"Side Slope"|||"33951270"|"12988392"
||"Tread"||"33951296"|"12988418"
||"Riser"||"33951296"|"12988419"
|"Side Slope"|||"33951244"|"12988365"
|||"Talf"|"33951123"|"12988278"
|||"Rise"|"33952321"|"12988607"
||"Tread"||"33951307"|"12988431"
|||"Talf"|"33951134"|"12988289"
|||"Dip"|"33951145"|"12988300"
|"Crest"|||"33951364"|"12988489"
|"Interfluve"|||"33951282"|"12988404"
||"Tread"||"33951318"|"12988443"
||"Tread"||"33952121"|"12988553"
|||"Talf"|"33951171"|"12988323"
||"Riser"||"33951355"|"12988480"
|||"Talf"|"33951101"|"12988256"
||"Riser"||"33951329"|"12988454"
|||"Flat"|"33952135"|"12988556"
|||"Talf"|"33951097"|"12988252"
|||"Dip"|"33951064"|"12988222"
|||"Rise"|"33951260"|"12988382"
|"Interfluve"|||"33951271"|"12988393"
|||"Rise"|"33951234"|"12988355"
||||"33951999"|"12988536"
|||"Flat"|"33951896"|"12988521"
|||"Rise"|"33951259"|"12988381"
||"Tread"||"33951308"|"12988432"
|||"Dip"|"33951075"|"12988232"
|||"Talf"|"33951086"|"12988241"
|"Side Slope"|||"33951255"|"12988377"
|||"Talf"|"33951892"|"12988518"
|"Side Slope"|||"33951186"|"12988333"
|"Side Slope"|||"33951281"|"12988403"
||"Tread"||"33951334"|"12988459"
|||"Rise"|"33951138"|"12988293"
||"Riser"||"33951297"|"12988420"
