"Fragipan"|"noncoherent"|64|74|84|173|183|193|89|109|129|"23394575"|"6588144"
"Fragipan"|"noncoherent"|41|61|81|140|150|160|69|89|109|"23394593"|"6588145"
"Fragipan"|"noncoherent"||||||||||"23394615"|"6588146"
"Fragipan"|"noncoherent"|60|66|75|165|203|203|105|137|143|"23394616"|"6588147"
"Fragipan"|"noncoherent"|61|71|81|173|183|193|102|112|122|"23394621"|"6588148"
"Fragipan"|"noncoherent"|65|73|90|150|203|230|85|130|140|"23394635"|"6588149"
"Fragipan"|"noncoherent"|64|74|84|173|183|193|89|109|129|"23394644"|"6588150"
"Fragipan"|"noncoherent"|64|74|84|127|137|147|43|63|83|"23394648"|"6588151"
"Fragipan"|"noncoherent"|64|71|84|173|183|193|89|109|129|"23394654"|"6588152"
"Fragipan"|"noncoherent"|41|61|81|140|150|160|69|89|109|"23394656"|"6588153"
"Fragipan"|"Moderately coherent"||||||||||"23394664"|"6588154"
"Fragipan"|"noncoherent"|60|66|75|165|183|203|105|117|128|"23394668"|"6588155"
"Fragipan"|"Moderately coherent"||||||||||"23394669"|"6588156"
"Fragipan"|"noncoherent"|64|74|84|173|183|193|89|109|129|"23394670"|"6588157"
"Fragipan"|"noncoherent"|64|74|84|127|137|147|43|63|83|"23394671"|"6588158"
"Fragipan"|"noncoherent"|61|71|81|173|183|193|102|112|122|"23394672"|"6588159"
"Fragipan"|"noncoherent"|54|64|74|173|203|203|120|139|139|"23394679"|"6588160"
