"p"|"64442415"|"26650428"
"g"|"64442330"|"26650352"
"g"|"64442301"|"26650315"
"t"|"64442301"|"26650316"
"p"|"64442382"|"26650390"
"p"|"64442404"|"26650416"
"t"|"64442312"|"26650329"
"g"|"64442312"|"26650330"
"p"|"64442378"|"26650388"
"t"|"64442275"|"26650283"
"g"|"64442275"|"26650284"
"p"|"64442449"|"26650464"
"p"|"64442441"|"26650458"
"t"|"64442345"|"26650366"
"g"|"64442437"|"26650454"
"g"|"64442419"|"26650431"
"p"|"64442338"|"26650360"
"g"|"64442297"|"26650310"
"t"|"64442297"|"26650311"
"g"|"64442286"|"26650296"
"g"|"64442430"|"26650446"
"t"|"64442430"|"26650447"
"g"|"64442459"|"26650476"
"p"|"64442393"|"26650404"
"g"|"64442323"|"26650342"
"x"|"64442341"|"26650362"
"t"|"64442341"|"26650363"
"g"|"64442319"|"26650338"
"g"|"64442289"|"26650299"
"g"|"64442411"|"26650422"
"g"|"64442279"|"26650289"
"g"|"64442331"|"26650354"
"ss"|"64442331"|"26650353"
"g"|"64442300"|"26650314"
"p"|"64442363"|"26650384"
"g"|"64442352"|"26650374"
"g"|"64442326"|"26650347"
"t"|"64442326"|"26650348"
"t"|"64442253"|"26650273"
"g"|"64442400"|"26650412"
"p"|"64442305"|"26650320"
"g"|"64442327"|"26650349"
"g"|"64442278"|"26650288"
"g"|"64442316"|"26650335"
"g"|"64442389"|"26650398"
"g"|"64442451"|"26650466"
"t"|"64442268"|"26650279"
"p"|"64442294"|"26650306"
"g"|"64442426"|"26650441"
"x"|"64442342"|"26650364"
"t"|"64442342"|"26650365"
"g"|"64442315"|"26650334"
"t"|"64442315"|"26650333"
"g"|"64442290"|"26650300"
"t"|"64442290"|"26650301"
"n"|"64442392"|"26650402"
"g"|"64442392"|"26650403"
"t"|"64442370"|"26650385"
"p"|"64442254"|"26650274"
"p"|"64442447"|"26650462"
"t"|"64442265"|"26650277"
"t"|"64442381"|"26650389"
"g"|"64442296"|"26650309"
"g"|"64442403"|"26650415"
"p"|"64442425"|"26650440"
"p"|"64442359"|"26650378"
"t"|"64442458"|"26650474"
"g"|"64442458"|"26650475"
"g"|"64442309"|"26650325"
"t"|"64442309"|"26650326"
"t"|"64442351"|"26650372"
"g"|"64442351"|"26650373"
"t"|"64442372"|"26650386"
"p"|"64442401"|"26650413"
"g"|"64442298"|"26650312"
"g"|"64442320"|"26650339"
"g"|"64442307"|"26650322"
"t"|"64442307"|"26650323"
"g"|"64442414"|"26650426"
"t"|"64442414"|"26650427"
"g"|"64442457"|"26650473"
"p"|"64442274"|"26650282"
"p"|"64442266"|"26650278"
"p"|"64442422"|"26650435"
"p"|"64442318"|"26650337"
"t"|"64442361"|"26650380"
"n"|"64442361"|"26650381"
"g"|"64442361"|"26650382"
"g"|"64442434"|"26650451"
"p"|"64442349"|"26650370"
"g"|"64442329"|"26650351"
"t"|"64442340"|"26650361"
"g"|"64442350"|"26650371"
"g"|"64442308"|"26650324"
"g"|"64442412"|"26650423"
"t"|"64442412"|"26650424"
"g"|"64442443"|"26650460"
"t"|"64442276"|"26650285"
"g"|"64442276"|"26650286"
"g"|"64442287"|"26650297"
"g"|"64442433"|"26650450"
"p"|"64442450"|"26650465"
"g"|"64442413"|"26650425"
"g"|"64442277"|"26650287"
"t"|"64442423"|"26650437"
"g"|"64442423"|"26650436"
"p"|"64442328"|"26650350"
"g"|"64442402"|"26650414"
"g"|"64442360"|"26650379"
"g"|"64442439"|"26650456"
"g"|"64442428"|"26650444"
"g"|"64442358"|"26650377"
"g"|"64442306"|"26650321"
"p"|"64442444"|"26650461"
"n"|"64442391"|"26650399"
"g"|"64442391"|"26650400"
"t"|"64442391"|"26650401"
"g"|"64442325"|"26650345"
"t"|"64442325"|"26650346"
"g"|"64442455"|"26650471"
"g"|"64442288"|"26650298"
"g"|"64442317"|"26650336"
"g"|"64442454"|"26650470"
"g"|"64442321"|"26650340"
"t"|"64442273"|"26650281"
"g"|"64442424"|"26650438"
"t"|"64442424"|"26650439"
"g"|"64442395"|"26650406"
"p"|"64442310"|"26650327"
"t"|"64442406"|"26650417"
"g"|"64442435"|"26650452"
"g"|"64442432"|"26650449"
"p"|"64442299"|"26650313"
"p"|"64442332"|"26650355"
"p"|"64442409"|"26650420"
"g"|"64442421"|"26650434"
"g"|"64442295"|"26650307"
"t"|"64442295"|"26650308"
"t"|"64442258"|"26650275"
"g"|"64442420"|"26650432"
"t"|"64442420"|"26650433"
"g"|"64442453"|"26650469"
"t"|"64442362"|"26650383"
"p"|"64442284"|"26650295"
"w"|"64442399"|"26650411"
"g"|"64442394"|"26650405"
"g"|"64442442"|"26650459"
"t"|"64442347"|"26650368"
"x"|"64442347"|"26650369"
"g"|"64442436"|"26650453"
"p"|"64442280"|"26650290"
"g"|"64442410"|"26650421"
"p"|"64442384"|"26650391"
"p"|"64442431"|"26650448"
"w"|"64442336"|"26650359"
"w"|"64442416"|"26650429"
"g"|"64442452"|"26650467"
"t"|"64442452"|"26650468"
"p"|"64442357"|"26650376"
"g"|"64442440"|"26650457"
"g"|"64442283"|"26650294"
"g"|"64442438"|"26650455"
"g"|"64442322"|"26650341"
"g"|"64442429"|"26650445"
"b"|"64442385"|"26650392"
"g"|"64442385"|"26650393"
"x"|"64442385"|"26650394"
"t"|"64442396"|"26650407"
"g"|"64442396"|"26650408"
"p"|"64442346"|"26650367"
"g"|"64442333"|"26650356"
"p"|"64442335"|"26650358"
"g"|"64442311"|"26650328"
"p"|"64442388"|"26650397"
"g"|"64442427"|"26650442"
"t"|"64442427"|"26650443"
"t"|"64442261"|"26650276"
"g"|"64442448"|"26650463"
"g"|"64442324"|"26650343"
"t"|"64442324"|"26650344"
"g"|"64442282"|"26650293"
"t"|"64442282"|"26650292"
"p"|"64442456"|"26650472"
"g"|"64442387"|"26650396"
"p"|"64442398"|"26650410"
"t"|"64442271"|"26650280"
"g"|"64442292"|"26650303"
"w"|"64442386"|"26650395"
"g"|"64442334"|"26650357"
"t"|"64442375"|"26650387"
"g"|"64442313"|"26650331"
"p"|"64442291"|"26650302"
"t"|"64442355"|"26650375"
"x"|"64442407"|"26650418"
"t"|"64442407"|"26650419"
"p"|"64442314"|"26650332"
"g"|"64442303"|"26650318"
"t"|"64442303"|"26650319"
"g"|"64442397"|"26650409"
"g"|"64442302"|"26650317"
"g"|"64442293"|"26650304"
"t"|"64442293"|"26650305"
"g"|"64442281"|"26650291"
"w"|"64442418"|"26650430"
