26380|"494751"|"564042"|"29541284"
26380|"494753"|"564042"|"29541283"
26380|"494756"|"564042"|"29541206"
12598|"494751"|"564043"|"29541229"
12598|"494753"|"564043"|"29541228"
12598|"494756"|"564043"|"29541188"
6531|"494751"|"564044"|"29541232"
6531|"494753"|"564044"|"29541231"
6531|"494756"|"564044"|"29541189"
2617|"494751"|"564045"|"29541214"
2617|"494753"|"564045"|"29541213"
2617|"494756"|"564045"|"29541183"
9561|"494751"|"564046"|"29541235"
9561|"494753"|"564046"|"29541234"
9561|"494756"|"564046"|"29541190"
7079|"494751"|"564047"|"29541238"
7079|"494753"|"564047"|"29541237"
7079|"494756"|"564047"|"29541191"
2157|"494751"|"564048"|"29541241"
2157|"494753"|"564048"|"29541240"
2157|"494756"|"564048"|"29541192"
1502|"494751"|"564049"|"29541244"
1502|"494752"|"564049"|"29541243"
1502|"494756"|"564049"|"29541193"
21767|"494751"|"564050"|"29541247"
21767|"494752"|"564050"|"29541246"
21767|"494756"|"564050"|"29541194"
2182|"494751"|"564051"|"29541250"
2182|"494753"|"564051"|"29541249"
2182|"494756"|"564051"|"29541195"
20336|"494751"|"564052"|"29541287"
20336|"494752"|"564052"|"29541286"
20336|"494756"|"564052"|"29541207"
6122|"494751"|"564053"|"29541280"
6122|"494753"|"564053"|"29541279"
|"494755"|"564053"|"29541205"
6122|"494756"|"564053"|"29541282"
26372|"494751"|"564054"|"29541253"
26372|"494753"|"564054"|"29541252"
26372|"494756"|"564054"|"29541196"
13718|"494751"|"564055"|"29541257"
13718|"494753"|"564055"|"29541256"
13718|"494756"|"564055"|"29541255"
1189|"494751"|"564056"|"29541259"
1189|"494753"|"564056"|"29541258"
1189|"494756"|"564056"|"29541198"
|"494750"|"564057"|"29541294"
14405|"494751"|"564057"|"29541293"
14405|"494753"|"564057"|"29541209"
|"494755"|"564057"|"29541297"
14405|"494756"|"564057"|"29541296"
25660|"494751"|"564058"|"29541290"
25660|"494753"|"564058"|"29541289"
|"494755"|"564058"|"29541208"
|"494750"|"564059"|"29541299"
47505|"494751"|"564059"|"29541298"
47505|"494753"|"564059"|"29541302"
|"494755"|"564059"|"29541210"
30675|"494751"|"564060"|"29541310"
30675|"494753"|"564060"|"29541309"
|"494754"|"564060"|"29541308"
|"494755"|"564060"|"29541307"
28355|"494751"|"564061"|"29541304"
28355|"494753"|"564061"|"29541303"
17687|"494751"|"564062"|"29541262"
17687|"494753"|"564062"|"29541261"
18112|"494751"|"564063"|"29541265"
18112|"494753"|"564063"|"29541264"
1100|"494751"|"564064"|"29541223"
1100|"494752"|"564064"|"29541222"
8470|"494751"|"564065"|"29541217"
8470|"494752"|"564065"|"29541216"
23418|"494751"|"564066"|"29541220"
23418|"494752"|"564066"|"29541219"
8501|"494751"|"564067"|"29541268"
8501|"494752"|"564067"|"29541267"
9877|"494751"|"564068"|"29541226"
9877|"494753"|"564068"|"29541225"
1918|"494751"|"564069"|"29541271"
1918|"494753"|"564069"|"29541270"
11925|"494751"|"564070"|"29541274"
11925|"494753"|"564070"|"29541273"
2592|"494751"|"564071"|"29541277"
2592|"494753"|"564071"|"29541276"
2592|"494757"|"564071"|"29541278"
2592|"494756"|"564071"|"29541204"
11925|"494757"|"564070"|"29541275"
11925|"494756"|"564070"|"29541203"
1918|"494757"|"564069"|"29541272"
1918|"494756"|"564069"|"29541202"
9877|"494757"|"564068"|"29541227"
9877|"494756"|"564068"|"29541187"
8501|"494757"|"564067"|"29541269"
8501|"494756"|"564067"|"29541201"
23418|"494757"|"564066"|"29541221"
23418|"494756"|"564066"|"29541185"
8470|"494757"|"564065"|"29541218"
8470|"494756"|"564065"|"29541184"
1100|"494757"|"564064"|"29541224"
1100|"494756"|"564064"|"29541186"
18112|"494757"|"564063"|"29541266"
18112|"494756"|"564063"|"29541200"
17687|"494757"|"564062"|"29541263"
17687|"494756"|"564062"|"29541199"
28355|"494757"|"564061"|"29541305"
28355|"494756"|"564061"|"29541211"
30675|"494757"|"564060"|"29541212"
30675|"494756"|"564060"|"29541306"
47505|"494757"|"564059"|"29541300"
47505|"494756"|"564059"|"29541301"
25660|"494757"|"564058"|"29541291"
25660|"494756"|"564058"|"29541292"
14405|"494757"|"564057"|"29541295"
1189|"494757"|"564056"|"29541260"
13718|"494757"|"564055"|"29541197"
26372|"494757"|"564054"|"29541254"
6122|"494757"|"564053"|"29541281"
20336|"494757"|"564052"|"29541288"
2182|"494757"|"564051"|"29541251"
21767|"494757"|"564050"|"29541248"
1502|"494757"|"564049"|"29541245"
2157|"494757"|"564048"|"29541242"
7079|"494757"|"564047"|"29541239"
9561|"494757"|"564046"|"29541236"
2617|"494757"|"564045"|"29541215"
6531|"494757"|"564044"|"29541233"
12598|"494757"|"564043"|"29541230"
26380|"494757"|"564042"|"29541285"
