"Loamy fine sand"||"139952406"|"142349311"
"Silt loam"||"139952550"|"142349301"
"Silty clay loam"||"139952388"|"142349336"
"Sandy loam"||"139952136"|"142349348"
"Loam"||"139952354"|"142349289"
"Silty clay loam"||"139952380"|"142349454"
"Silt loam"||"139952539"|"142349414"
"Silt loam"||"139952417"|"142349218"
"Silt loam"||"139952318"|"142349501"
"Silty clay loam"||"139952561"|"142349419"
"Loam"||"139952240"|"142349172"
"Silty clay loam"||"139952513"|"142349388"
"Silt loam"||"139952480"|"142349235"
"Silt loam"||"139952182"|"142349203"
"Silt loam"||"139952281"|"142349292"
"Silt loam"||"139952307"|"142349140"
"Silt loam"||"139952362"|"142349406"
"Silt loam"||"139952491"|"142349263"
"Fine sandy loam"||"139952203"|"142349375"
"Sandy clay"||"139952502"|"142349507"
"Fine sandy loam"||"139952344"|"142349517"
"Silty clay loam"||"139952192"|"142349427"
"Silty clay loam"||"139952145"|"142349241"
"Silty clay loam"||"139952151"|"142349358"
"Silt loam"||"139952156"|"142349277"
"Clay loam"||"139952340"|"142349398"
"Silty clay loam"||"139952369"|"142349342"
"Clay loam"||"139952266"|"142349118"
"Silt loam"||"139952535"|"142349331"
"Sand"||"139952432"|"142349320"
"Silty clay loam"||"139952167"|"142349254"
"Clay loam"||"139952225"|"142349270"
"Loamy fine sand"||"139952443"|"142349208"
"Silty clay"||"139952498"|"142349477"
"Loam"||"139952155"|"142349385"
"Silt loam"||"139952188"|"142349536"
"Silty clay loam"||"139952373"|"142349339"
"Sandy loam"||"139952339"|"142349364"
"Sandy clay"||"139952339"|"142349365"
"Fine sandy loam"||"139952339"|"142349367"
"Sandy clay loam"||"139952339"|"142349366"
"Silty clay"||"139952506"|"142349359"
"Silty clay"||"139952395"|"142349291"
"Loam"||"139952177"|"142349424"
"Sandy clay"||"139952517"|"142349393"
"Silt loam"||"139952292"|"142349294"
"Silt loam"||"139952350"|"142349523"
"Silt loam"||"139952166"|"142349360"
"Very fine sandy loam"||"139952469"|"142349260"
"Clay loam"||"139952384"|"142349125"
"Silty clay loam"||"139952355"|"142349404"
"Silty clay"||"139952524"|"142349281"
"Sandy clay loam"||"139952329"|"142349395"
"Loamy sand"||"139952214"|"142349518"
"Silty clay loam"||"139952303"|"142349382"
"Silt loam"||"139952487"|"142349236"
"Loam"||"139952454"|"142349487"
"Silty clay loam"||"139952543"|"142349195"
"Clay"||"139952376"|"142349231"
"Silty clay loam"||"139952251"|"142349519"
"Fine sand"||"139952429"|"142349548"
"Silt loam"||"139952233"|"142349378"
"Loam"||"139952181"|"142349202"
"Silty clay loam"||"139952255"|"142349224"
"Loamy fine sand"||"139952428"|"142349547"
"Silty clay loam"||"139952244"|"142349356"
"Loam"||"139952152"|"142349251"
"Loamy fine sand"||"139952207"|"142349493"
"Loamy sand"||"139952465"|"142349465"
"Sandy loam"||"139952439"|"142349552"
"Clay loam"||"139952381"|"142349455"
"Silt loam"||"139952554"|"142349418"
"Silt loam"||"139952314"|"142349246"
"Clay loam"||"139952387"|"142349338"
"Silty clay loam"||"139952277"|"142349529"
"Clay loam"||"139952336"|"142349255"
"Silt loam"||"139952392"|"142349228"
"Silty clay loam"||"139952418"|"142349219"
"Silt loam"||"139952391"|"142349122"
"Loam"||"139952403"|"142349207"
"Silty clay"||"139952365"|"142349458"
"Loam"||"139952262"|"142349334"
"Silt loam"||"139952138"|"142349469"
"Silty clay loam"||"139952351"|"142349524"
"Silty clay loam"||"139952288"|"142349191"
"Loam"||"139952196"|"142349204"
"Silt loam"||"139952229"|"142349379"
"Silt loam"||"139952270"|"142349296"
"Fine sandy loam"||"139952461"|"142349233"
"Fine sandy loam"||"139952218"|"142349497"
"Loam"||"139952476"|"142349131"
"Silty clay"||"139952377"|"142349341"
"Silt loam"||"139952450"|"142349489"
"Silty clay loam"||"139952170"|"142349180"
"Silt loam"||"139952413"|"142349213"
"Fine sandy loam"||"139952325"|"142349151"
"Silt loam"||"139952299"|"142349442"
"Silty clay"||"139952528"|"142349178"
"Silt loam"||"139952159"|"142349149"
"Silty clay loam"||"139952366"|"142349459"
"Very fine sandy loam"||"139952402"|"142349430"
"Loamy fine sand"||"139952424"|"142349314"
