0|0|0|203|203|203|"Moist"|"228835926"|"143572428"
0|0|0|152|183|200|"Moist"|"228836717"|"143572852"
0|0|0|183|183|183|"Moist"|"228835915"|"143572412"
0|0|0|200|200|200|"Moist"|"228836347"|"143572635"
0|0|0|8|18|25|"Moist"|"228835947"|"143572456"
8|18|25|152|183|203|"Wet"|"228835947"|"143572457"
46|56|66|183|183|183|"Moist"|"228836248"|"143572529"
0|0|0|13|13|30|"Moist"|"228836248"|"143572530"
13|13|30|46|56|66|"Wet"|"228836248"|"143572531"
0|0|0|152|183|203|"Moist"|"228836613"|"143572817"
0|0|0|8|15|25|"Moist"|"228835925"|"143572426"
8|15|25|203|203|203|"Wet"|"228835925"|"143572427"
0|0|0|15|30|46|"Moist"|"228836432"|"143572684"
15|30|46|183|183|183|"Wet"|"228836432"|"143572685"
0|0|0|15|30|46|"Moist"|"228836374"|"143572670"
15|30|46|183|183|183|"Wet"|"228836374"|"143572671"
0|0|0|127|183|200|"Moist"|"228836591"|"143572790"
0|0|0|152|183|203|"Moist"|"228835946"|"143572455"
0|0|0|15|30|46|"Moist"|"228836373"|"143572668"
15|30|46|183|183|183|"Wet"|"228836373"|"143572669"
0|0|0|152|183|200|"Moist"|"228836707"|"143572842"
58|94|157|183|183|183|"Moist"|"228836321"|"143572596"
0|0|0|8|18|30|"Moist"|"228836321"|"143572597"
30|46|61|58|94|157|"Wet"|"228836321"|"143572598"
0|0|0|73|183|200|"Moist"|"228836337"|"143572621"
0|0|0|152|183|200|"Moist"|"228836580"|"143572774"
0|0|0|40|58|75|"Moist"|"228835936"|"143572441"
40|58|75|122|183|200|"Wet"|"228835936"|"143572442"
0|0|0|0|15|30|"Moist"|"228835820"|"143572382"
0|15|30|183|183|183|"Wet"|"228835820"|"143572383"
0|0|0|40|58|75|"Moist"|"228835935"|"143572439"
40|58|75|122|183|200|"Wet"|"228835935"|"143572440"
0|0|0|0|15|30|"Moist"|"228835796"|"143572372"
0|15|30|183|183|183|"Wet"|"228835796"|"143572373"
0|0|0|183|183|183|"Moist"|"228836326"|"143572605"
0|0|0|91|183|216|"Moist"|"228835957"|"143572470"
0|0|0|10|30|48|"Moist"|"228836358"|"143572653"
10|30|48|153|183|200|"Wet"|"228836358"|"143572652"
0|0|0|152|183|200|"Moist"|"228836569"|"143572763"
0|0|0|152|183|200|"Moist"|"228836718"|"143572853"
0|0|0|10|30|48|"Moist"|"228836363"|"143572663"
10|30|48|153|183|200|"Wet"|"228836363"|"143572662"
0|0|0|152|183|200|"Moist"|"228836706"|"143572841"
0|0|0|46|61|107|"Moist"|"228836727"|"143572863"
46|61|107|183|183|183|"Wet"|"228836727"|"143572864"
46|55|61|183|183|183|"Moist"|"228835767"|"143572352"
0|0|0|15|30|46|"Moist"|"228835767"|"143572353"
15|30|46|46|55|61|"Wet"|"228835767"|"143572354"
