||"Tread"||"36194789"|"14004552"
||"Tread"||"36194934"|"14004617"
||"Tread"||"36194802"|"14004559"
|||"Rise"|"36194830"|"14004572"
|||"Dip"|"36194885"|"14004592"
|||"Dip"|"36194852"|"14004581"
||"Tread"||"36194791"|"14004553"
||"Tread"||"36194633"|"14004490"
||"Tread"||"36194778"|"14004548"
||"Tread"||"36194644"|"14004497"
||"Tread"||"36195018"|"14004651"
||"Tread"||"36194997"|"14004639"
||"Tread"||"36194580"|"14004466"
||"Tread"||"36194695"|"14004520"
||"Tread"||"36194919"|"14004609"
||"Tread"||"36194549"|"14004451"
||"Tread"||"36194654"|"14004502"
||"Tread"||"36194708"|"14004526"
|||"Dip"|"36194841"|"14004577"
||"Tread"||"36194854"|"14004582"
||"Tread"||"36194780"|"14004549"
|||"Talf"|"36194904"|"14004601"
|"Interfluve"|||"36194843"|"14004578"
|||"Dip"|"36194685"|"14004515"
||"Tread"||"36194767"|"14004542"
|||"Talf"|"36194612"|"14004482"
||"Tread"||"36194938"|"14004619"
|||"Dip"|"36194697"|"14004521"
||"Tread"||"36194967"|"14004631"
||"Tread"||"36194906"|"14004602"
||"Tread"||"36194993"|"14004637"
||"Tread"||"36194821"|"14004566"
|"Base Slope"|||"36195030"|"14004658"
||||"36195030"|"14004657"
||"Tread"||"36194822"|"14004567"
||"Tread"||"36194592"|"14004471"
||"Tread"||"36194737"|"14004537"
||"Tread"||"36194675"|"14004510"
||"Tread"||"36194631"|"14004489"
||"Tread"||"36194971"|"14004634"
||"Tread"||"36194568"|"14004461"
||"Tread"||"36194579"|"14004465"
|||"Dip"|"36194726"|"14004533"
||"Tread"||"36194895"|"14004596"
||"Tread"||"36194705"|"14004525"
||"Tread"||"36194673"|"14004509"
||"Tread"||"36194832"|"14004573"
||"Tread"||"36194923"|"14004611"
||"Tread"||"36194801"|"14004558"
||"Tread"||"36194642"|"14004496"
||"Tread"||"36194577"|"14004464"
||"Tread"||"36194702"|"14004523"
||"Tread"||"36195020"|"14004652"
||"Tread"||"36194912"|"14004605"
||"Tread"||"36194827"|"14004570"
||"Tread"||"36194599"|"14004475"
||"Tread"||"36194731"|"14004535"
|"Base Slope"|||"36194610"|"14004481"
||"Tread"||"36194989"|"14004635"
||"Tread"||"36194646"|"14004498"
||"Tread"||"36194551"|"14004452"
|"Side Slope"|||"36194562"|"14004458"
||"Tread"||"36194635"|"14004491"
||"Tread"||"36194812"|"14004562"
||"Tread"||"36194927"|"14004613"
||"Tread"||"36194901"|"14004599"
|||"Dip"|"36195011"|"14004647"
|||"Dip"|"36194587"|"14004469"
||"Tread"||"36194916"|"14004607"
||"Tread"||"36194625"|"14004485"
|||"Dip"|"36194838"|"14004576"
||"Tread"||"36194999"|"14004640"
||"Tread"||"36194990"|"14004636"
||"Tread"||"36194558"|"14004456"
||"Tread"||"36194771"|"14004544"
||"Tread"||"36194650"|"14004500"
||"Tread"||"36194893"|"14004595"
|||"Dip"|"36194860"|"14004585"
||"Tread"||"36194547"|"14004450"
||"Tread"||"36195009"|"14004646"
|||"Talf"|"36194856"|"14004583"
|"Base Slope"|||"36194761"|"14004539"
|"Base Slope"|||"36194602"|"14004477"
||"Tread"||"36194639"|"14004494"
||"Tread"||"36195001"|"14004641"
||"Tread"||"36195022"|"14004653"
||"Tread"||"36194834"|"14004574"
||"Tread"||"36194687"|"14004516"
|||"Dip"|"36194584"|"14004468"
|||"Dip"|"36194787"|"14004551"
||"Tread"||"36194908"|"14004603"
||"Tread"||"36194948"|"14004624"
||"Tread"||"36194683"|"14004514"
||"Tread"||"36194665"|"14004506"
||"Tread"||"36194850"|"14004580"
||"Tread"||"36194897"|"14004597"
||"Tread"||"36194924"|"14004612"
|||"Talf"|"36194613"|"14004483"
|||"Dip"|"36194824"|"14004568"
||"Tread"||"36194970"|"14004633"
||"Tread"||"36194946"|"14004623"
||"Tread"||"36194797"|"14004556"
|||"Dip"|"36194595"|"14004473"
|||"Dip"|"36194808"|"14004561"
||"Tread"||"36194739"|"14004538"
||"Tread"||"36194813"|"14004563"
||"Tread"||"36194871"|"14004589"
||"Tread"||"36194669"|"14004507"
||"Tread"||"36194564"|"14004459"
||"Tread"||"36194723"|"14004531"
||"Tread"||"36194939"|"14004620"
