||"Tread"||"36832730"|"14303348"
||"Tread"||"36832804"|"14303367"
|"Side Slope"|||"36832756"|"14303354"
||"Tread"||"36832867"|"14303385"
|"Base Slope"|||"36832815"|"14303373"
|||"Rise"|"36832700"|"14303340"
||"Tread"||"36832737"|"14303350"
||"Tread"||"36832716"|"14303344"
|||"Talf"|"36832763"|"14303358"
||"Tread"||"36832759"|"14303356"
|"Crest"|||"36832751"|"14303352"
||"Tread"||"36832801"|"14303366"
|"Interfluve"|||"36832864"|"14303383"
||"Tread"||"36832698"|"14303339"
||"Tread"||"36832814"|"14303372"
|||"Dip"|"36832768"|"14303360"
||"Tread"||"36832720"|"14303345"
||"Tread"||"36832696"|"14303338"
||"Tread"||"36832770"|"14303361"
|"Side Slope"|||"36832728"|"14303347"
|"Interfluve"|||"36832865"|"14303384"
||"Tread"||"36832761"|"14303357"
|"Interfluve"|||"36832749"|"14303351"
||"Tread"||"36832812"|"14303371"
|"Interfluve"|||"36832758"|"14303355"
||"Tread"||"36832787"|"14303365"
||"Tread"||"36832706"|"14303341"
||"Tread"||"36832872"|"14303388"
|"Side Slope"|||"36832754"|"14303353"
||"Tread"||"36832868"|"14303386"
|"Base Slope"|||"36832820"|"14303376"
||"Tread"||"36832772"|"14303362"
||"Tread"||"36832810"|"14303370"
||"Tread"||"36832783"|"14303364"
||"Tread"||"36832805"|"14303368"
|"Side Slope"|||"36832846"|"14303378"
||"Tread"||"36832714"|"14303343"
|"Interfluve"|||"36832862"|"14303382"
||"Tread"||"36832722"|"14303346"
"Mountaintop"||||"36832860"|"14303381"
|||"Rise"|"36832766"|"14303359"
"Mountaintop"||||"36832858"|"14303379"
|"Side Slope"|||"36832840"|"14303377"
||"Tread"||"36832776"|"14303363"
||"Tread"||"36832808"|"14303369"
||"Tread"||"36832734"|"14303349"
|"Nose Slope"|||"36832712"|"14303342"
|"Interfluve"|||"36832859"|"14303380"
||"Tread"||"36832818"|"14303375"
||"Tread"||"36832870"|"14303387"
||"Tread"||"36832817"|"14303374"
