"A-2-4"|Yes|"63867031"|"104433275"
"A-4"|No |"63867031"|"104433276"
"A-7-6"|Yes|"63866423"|"104432143"
"A-6"|Yes|"63867068"|"104433349"
"A-7-6"|No |"63867068"|"104433350"
"A-7-6"|No |"63867279"|"104433689"
"A-4"|Yes|"63867279"|"104433690"
"A-6"|No |"63867279"|"104433691"
"A-4"|Yes|"63866081"|"104431457"
"A-6"|No |"63866081"|"104431458"
"A-7-6"|Yes|"63866361"|"104432042"
"A-6"|No |"63866361"|"104432043"
"A-7-6"|No |"63866799"|"104432829"
"A-4"|No |"63866799"|"104432830"
"A-6"|Yes|"63866799"|"104432831"
"A-4"|Yes|"63867300"|"104433721"
"A-2-4"|No |"63867300"|"104433722"
"A-7-6"|Yes|"63866538"|"104432350"
"A-4"|Yes|"63867278"|"104433687"
"A-6"|No |"63867278"|"104433688"
"A-2-4"|Yes|"63866715"|"104432689"
"A-2"|No |"63866715"|"104432690"
"A-4"|Yes|"63866435"|"104432157"
"A-6"|Yes|"63867164"|"104433491"
"A-4"|No |"63867164"|"104433492"
"A-5"|No |"63866155"|"104431632"
"A-2-5"|No |"63866155"|"104431633"
"A-4"|No |"63866155"|"104431634"
"A-7-6"|Yes|"63866155"|"104431635"
"A-4"|Yes|"63866909"|"104433056"
"A-7-6"|Yes|"63866403"|"104432109"
"A-7-5"|No |"63866403"|"104432110"
"A-7-6"|Yes|"63866946"|"104433110"
"A-6"|No |"63866946"|"104433111"
"A-6"|No |"63866667"|"104432600"
"A-7-6"|Yes|"63866667"|"104432601"
"A-7-6"|Yes|"63866424"|"104432144"
"A-2-4"|No |"63866569"|"104432403"
"A-4"|Yes|"63866569"|"104432402"
"A-4"|Yes|"63867153"|"104433474"
"A-6"|Yes|"63866846"|"104432936"
"A-4"|No |"63866846"|"104432937"
"A-7-6"|Yes|"63867299"|"104433719"
"A-6"|No |"63867299"|"104433720"
"A-6"|Yes|"63866308"|"104431948"
"A-7"|No |"63866308"|"104431949"
"A-4"|Yes|"63867268"|"104433671"
"A-6"|No |"63867268"|"104433672"
"A-6"|Yes|"63866288"|"104431917"
"A-7-6"|No |"63866288"|"104431918"
"A-4"|No |"63866288"|"104431919"
"A-4"|No |"63865986"|"104431304"
"A-7-6"|No |"63865986"|"104431305"
"A-6"|Yes|"63865986"|"104431306"
"A-4"|Yes|"63866920"|"104433072"
"A-4"|Yes|"63866011"|"104431361"
"A-7-6"|Yes|"63867288"|"104433702"
"A-6"|Yes|"63866850"|"104432943"
"A-7-6"|No |"63866850"|"104432944"
"A-4"|Yes|"63866698"|"104432664"
"A-6"|Yes|"63866487"|"104432239"
"A-4"|Yes|"63867373"|"104433835"
"A-6"|No |"63867373"|"104433836"
"A-2-4"|No |"63867373"|"104433837"
"A-6"|Yes|"63866851"|"104432945"
"A-7-6"|No |"63866851"|"104432946"
"A-6"|No |"63866255"|"104431847"
"A-4"|Yes|"63866255"|"104431846"
"A-4"|Yes|"63866571"|"104432406"
"A-2-4"|No |"63866571"|"104432407"
