3370|"493992"|"373243"|"29512003"
3370|"493993"|"373243"|"29512002"
3370|"493994"|"373243"|"29511511"
3370|"493995"|"373243"|"29512004"
10741|"493992"|"373244"|"29512057"
10741|"493993"|"373244"|"29512056"
10741|"493994"|"373244"|"29511529"
10741|"493995"|"373244"|"29512058"
51799|"493992"|"373245"|"29512032"
51799|"493993"|"373245"|"29511521"
51799|"493994"|"373245"|"29512034"
51799|"493995"|"373245"|"29512033"
1721|"493992"|"373246"|"29512037"
1721|"493993"|"373246"|"29512036"
1721|"493994"|"373246"|"29512035"
1721|"493995"|"373246"|"29511522"
47214|"493992"|"373247"|"29512051"
47214|"493993"|"373247"|"29512050"
47214|"493994"|"373247"|"29511527"
47214|"493995"|"373247"|"29512052"
5928|"493992"|"373248"|"29512007"
5928|"493993"|"373248"|"29512006"
5928|"493994"|"373248"|"29512005"
5928|"493995"|"373248"|"29511512"
10902|"493992"|"373249"|"29511970"
10902|"493993"|"373249"|"29511969"
10902|"493994"|"373249"|"29511500"
10902|"493995"|"373249"|"29511971"
10824|"493992"|"373250"|"29511982"
10824|"493993"|"373250"|"29511981"
10824|"493994"|"373250"|"29511504"
10824|"493995"|"373250"|"29511983"
3814|"493992"|"373251"|"29512009"
3814|"493993"|"373251"|"29512008"
3814|"493994"|"373251"|"29511513"
3814|"493995"|"373251"|"29512010"
96307|"493992"|"373252"|"29512041"
96307|"493993"|"373252"|"29511524"
96307|"493994"|"373252"|"29512043"
96307|"493995"|"373252"|"29512042"
1597|"493992"|"373253"|"29512045"
1597|"493993"|"373253"|"29512044"
1597|"493994"|"373253"|"29511525"
1597|"493995"|"373253"|"29512046"
3211|"493992"|"373254"|"29512048"
3211|"493993"|"373254"|"29512047"
3211|"493994"|"373254"|"29511526"
3211|"493995"|"373254"|"29512049"
13909|"493992"|"373255"|"29512072"
13909|"493993"|"373255"|"29512071"
13909|"493994"|"373255"|"29511534"
13909|"493995"|"373255"|"29512073"
11096|"493992"|"373257"|"29512078"
11096|"493993"|"373257"|"29512077"
11096|"493994"|"373257"|"29511536"
11096|"493995"|"373257"|"29512079"
1369|"493992"|"373258"|"29512012"
1369|"493993"|"373258"|"29512011"
1369|"493994"|"373258"|"29511514"
1369|"493995"|"373258"|"29512013"
161603|"493992"|"373259"|"29512038"
161603|"493993"|"373259"|"29511523"
161603|"493994"|"373259"|"29512040"
161603|"493995"|"373259"|"29512039"
1940|"493992"|"373260"|"29511967"
1940|"493993"|"373260"|"29511966"
1940|"493994"|"373260"|"29511499"
1940|"493995"|"373260"|"29511968"
11891|"493992"|"373261"|"29512015"
11891|"493993"|"373261"|"29512014"
11891|"493994"|"373261"|"29511515"
11891|"493995"|"373261"|"29512016"
55142|"493992"|"373262"|"29512096"
55142|"493993"|"373262"|"29512095"
55142|"493994"|"373262"|"29511542"
55142|"493995"|"373262"|"29512097"
988|"493992"|"373263"|"29511973"
988|"493993"|"373263"|"29511972"
988|"493994"|"373263"|"29511501"
988|"493995"|"373263"|"29511974"
21045|"493992"|"373264"|"29512087"
21045|"493993"|"373264"|"29512086"
21045|"493994"|"373264"|"29511539"
21045|"493995"|"373264"|"29512088"
