"Argillic horizon"||72|||203|||131||"21828752"|"12164188"
"Glossic horizon"|16|20|40|32|47|80|16|27|64|"21828792"|"12164234"
"Ochric epipedon"|0|0|0|16|20|40|16|20|40|"21828792"|"12164233"
"Argillic horizon"|26|38|65|203|203|203|138|165|177|"21828792"|"12164235"
"Aquic conditions"|0|0|0|23|36|71|23|36|71|"21828796"|"12164238"
"Ochric epipedon"|0|0|0|8|18|41|8|18|41|"21828796"|"12164237"
"Argillic horizon"|23|36|71|203|203|203|132|167|180|"21828796"|"12164236"
"Episaturation"|0|0|0|23|36|71|23|36|71|"21828796"|"12164239"
"Aquic conditions"|0|0|0|23|36|71|23|36|71|"21828799"|"12164242"
"Ochric epipedon"|0|0|0|8|18|41|8|18|41|"21828799"|"12164241"
"Argillic horizon"|23|36|71|203|203|203|132|167|180|"21828799"|"12164240"
"Episaturation"|0|0|0|23|36|71|23|36|71|"21828799"|"12164243"
"Ochric epipedon"|0|0|0|10|19|30|10|19|30|"21828800"|"12164244"
"Argillic horizon"|10|19|30|203|203|203|173|184|193|"21828800"|"12164245"
"Ochric epipedon"|0|0|0|10|18|30|10|18|30|"21828824"|"12164284"
"Argillic horizon"|10|18|30|203|203|203|173|185|193|"21828824"|"12164285"
"Abrupt textural change"|31|42|47|31|42|47||||"21828826"|"12164287"
"Ochric epipedon"|0|0|0|31|42|47|31|42|47|"21828826"|"12164288"
"Argillic horizon"|31|42|47|203|203|203|156|161|172|"21828826"|"12164286"
"Ochric epipedon"|0|0|0|28|41|69|28|41|69|"21828746"|"12164186"
"Argillic horizon"|28|41|69|203|203|203|134|162|175|"21828746"|"12164187"
"Ochric epipedon"|0|0|0|48|54|97|48|54|97|"21828595"|"12164015"
"Argillic horizon"|48|54|97|203|203|203|106|149|155|"21828595"|"12164016"
"Aquic conditions"|0|0|0|23|38|71|23|38|71|"21828778"|"12164219"
"Secondary carbonates"|68|89|139|203|203|203|64|114|135|"21828778"|"12164221"
"Ochric epipedon"|0|0|0|8|20|41|8|20|41|"21828778"|"12164217"
"Argillic horizon"|23|38|71|203|203|203|132|165|180|"21828778"|"12164218"
"Episaturation"|0|0|0|23|38|71|23|38|71|"21828778"|"12164220"
"Abrupt textural change"|35|36|60|35|36|60|0|0|0|"21828784"|"12164226"
"Mollic epipedon"|0|0|0|23|25|36|23|25|36|"21828784"|"12164222"
"Albic horizon"|25|25|36|35|36|60|10|11|35|"21828784"|"12164223"
"Argillic horizon"|35|36|60|203|203|203|143|167|168|"21828784"|"12164224"
"Lithologic discontinuity"|165|175|185|203|203|203|18|28|38|"21828784"|"12164225"
"Abrupt textural change"|31|37|47|31|37|47||||"21828829"|"12164290"
"Ochric epipedon"|0|0|0|31|37|47|31|37|47|"21828829"|"12164289"
"Argillic horizon"|31|37|47|203|203|203|156|166|172|"21828829"|"12164291"
"Abrupt textural change"|33|45|46|33|45|46||0||"21828382"|"12163974"
"Ochric epipedon"|0|0|0|33|45|46|33|45|46|"21828382"|"12163972"
"Argillic horizon"|33|45|46|203|203|203|156|158|172|"21828382"|"12163973"
"Abrupt textural change"|35|35|60|35|35|60|0|0|0|"21828387"|"12163982"
"Mollic epipedon"|0|0|0|23|25|36|23|25|36|"21828387"|"12163978"
"Albic horizon"|25|25|36|35|35|60|10|10|35|"21828387"|"12163979"
"Argillic horizon"|35|35|60|203|203|203|143|168|168|"21828387"|"12163980"
"Lithologic discontinuity"|165|165|185|203|203|203|18|38|38|"21828387"|"12163981"
"Ochric epipedon"|0|0|0|32|45|51|32|45|51|"21828410"|"12163996"
"Argillic horizon"|32|45|51|203|203|203|152|158|171|"21828410"|"12163997"
"Ochric epipedon"|0|0|0|48|48|97|48|48|97|"21828401"|"12163987"
"Argillic horizon"|48|48|97|203|203|203|106|155|155|"21828401"|"12163988"
"Abrupt textural change"|33|46|46|||||0||"21828404"|"12163990"
"Ochric epipedon"|0|0|0|33|46|46|33|46|46|"21828404"|"12163989"
"Argillic horizon"|33|46|46|203|203|203|156|158|172|"21828404"|"12163991"
"Aquic conditions"|0|0|0|8|10|41|8|10|41|"21828405"|"12163994"
"Ochric epipedon"|0|0|0|8|10|41|8|10|41|"21828405"|"12163992"
"Argillic horizon"|8|10|41|203|203|203|162|193|195|"21828405"|"12163993"
"Episaturation"|0|0|0|8|10|41|8|10|41|"21828405"|"12163995"
