"2"|"23380670"|"5256793"
"2"|"23380674"|"5256740"
"4"|"23380674"|"5256741"
"2"|"23380676"|"5256742"
"3"|"23380676"|"5256743"
"4"|"23380676"|"5256744"
"2"|"23380677"|"5256717"
"3"|"23380677"|"5256718"
"2"|"23380680"|"5256736"
"2"|"23380682"|"5256789"
"2"|"23380683"|"5256766"
"2"|"23380685"|"5256768"
"4"|"23380685"|"5256767"
"2"|"23380687"|"5256769"
"4"|"23380687"|"5256770"
"4"|"23380688"|"5256771"
"2"|"23380689"|"5256772"
"3"|"23380689"|"5256773"
"2"|"23380691"|"5256804"
"2"|"23380692"|"5256803"
"2"|"23380694"|"5256805"
"2"|"23380695"|"5256806"
"4"|"23380696"|"5256807"
"2"|"23380702"|"5256737"
"2"|"23380703"|"5256738"
"3"|"23380703"|"5256739"
"2"|"23380707"|"5256790"
"2"|"23380710"|"5256774"
"4"|"23380710"|"5256775"
"4"|"23380711"|"5256776"
"2"|"23380712"|"5256777"
"3"|"23380712"|"5256778"
"2"|"23380715"|"5256783"
"3"|"23380715"|"5256784"
"4"|"23380715"|"5256785"
"2"|"23380718"|"5256786"
"3"|"23380718"|"5256787"
"4"|"23380718"|"5256788"
"2"|"23380719"|"5256791"
"3"|"23380719"|"5256792"
"2"|"23380722"|"5256796"
"3"|"23380722"|"5256797"
"2"|"23380724"|"5256758"
"3"|"23380724"|"5256759"
"2"|"23380725"|"5256720"
"2"|"23380726"|"5256719"
"2"|"23380727"|"5256721"
"3"|"23380727"|"5256722"
"2"|"23380730"|"5256724"
"3"|"23380730"|"5256725"
"4"|"23380730"|"5256726"
"4"|"23380731"|"5256723"
"2"|"23380732"|"5256727"
"3"|"23380732"|"5256728"
"4"|"23380732"|"5256729"
"2"|"23380734"|"5256731"
"2"|"23380735"|"5256730"
"2"|"23380736"|"5256732"
"3"|"23380736"|"5256733"
"2"|"23380738"|"5256734"
"3"|"23380738"|"5256735"
"2"|"23380741"|"5256809"
"2"|"23380743"|"5256779"
"3"|"23380743"|"5256780"
"4"|"23380743"|"5256781"
"4"|"23380744"|"5256782"
"2"|"23380745"|"5256800"
"3"|"23380745"|"5256801"
"2"|"23380746"|"5256799"
"2"|"23380748"|"5256798"
"2"|"23380751"|"5256794"
"3"|"23380751"|"5256795"
"2"|"23380752"|"5256802"
"2"|"23380754"|"5256746"
"3"|"23380754"|"5256747"
"2"|"23380755"|"5256745"
"2"|"23380757"|"5256748"
"2"|"23380758"|"5256749"
"3"|"23380758"|"5256750"
"2"|"23380759"|"5256755"
"3"|"23380759"|"5256756"
"4"|"23380759"|"5256757"
"4"|"23380761"|"5256754"
"2"|"23380762"|"5256751"
"3"|"23380762"|"5256752"
"4"|"23380762"|"5256753"
"2"|"23380764"|"5256763"
"3"|"23380764"|"5256764"
"4"|"23380764"|"5256765"
"2"|"23380765"|"5256760"
"3"|"23380765"|"5256761"
"4"|"23380765"|"5256762"
"2"|"23380767"|"5256808"
