|||"Talf"|"34781558"|"13348806"
|||"Flat"|"34781673"|"13348896"
||"Tread"||"34781631"|"13348863"
||"Riser"||"34782227"|"13349877"
|||"Talf"|"34781569"|"13348815"
"Mountaintop"|"Interfluve"|||"34782179"|"13349789"
|"Interfluve"|||"34781887"|"13349261"
|||"Talf"|"34781560"|"13348808"
||"Tread"||"34781994"|"13349530"
||"Riser"||"34782020"|"13349565"
||"Tread"||"34782211"|"13349868"
|||"Rise"|"34781757"|"13349002"
|||"Rise"|"34781968"|"13349466"
|||"Flat"|"34782153"|"13349753"
||"Tread"||"34782075"|"13349631"
|||"Dip"|"34781810"|"13349099"
|"Side Slope"|||"34781950"|"13349456"
|||"Dip"|"34782253"|"13349951"
|||"Talf"|"34781578"|"13348820"
|"Interfluve"|||"34781683"|"13348946"
|||"Talf"|"34782005"|"13349535"
|||"Dip"|"34781695"|"13348951"
|"Interfluve"|||"34781726"|"13348971"
|||"Rise"|"34781768"|"13349035"
|||"Rise"|"34782142"|"13349748"
|||"Dip"|"34782200"|"13349856"
|||"Talf"|"34781778"|"13349040"
|"Side Slope"|||"34781611"|"13348854"
|||"Rise"|"34781580"|"13348821"
|||"Talf"|"34782060"|"13349622"
|||"Talf"|"34781651"|"13348877"
|||"Rise"|"34781622"|"13348859"
|||"Talf"|"34781758"|"13349003"
|||"Rise"|"34781703"|"13348955"
|||"Rise"|"34781806"|"13349098"
|||"Talf"|"34781989"|"13349495"
|||"Talf"|"34781904"|"13349284"
|"Interfluve"|||"34781795"|"13349085"
|"Side Slope"|||"34781883"|"13349259"
|||"Dip"|"34782063"|"13349624"
|||"Talf"|"34781966"|"13349465"
|||"Rise"|"34782115"|"13349691"
|||"Talf"|"34781747"|"13348996"
|||"Rise"|"34781977"|"13349474"
||"Tread"||"34782231"|"13349880"
|"Side Slope"|||"34782196"|"13349854"
|||"Talf"|"34781706"|"13348956"
|"Base Slope"|||"34781851"|"13349228"
|||"Rise"|"34781925"|"13349295"
||"Riser"||"34782126"|"13349705"
|||"Dip"|"34782040"|"13349608"
||"Tread"||"34781998"|"13349531"
|"Interfluve"|||"34781946"|"13349394"
|||"Talf"|"34781566"|"13348813"
|||"Talf"|"34782080"|"13349652"
|"Interfluve"|||"34781740"|"13348985"
|||"Talf"|"34781769"|"13349036"
|||"Flat"|"34781555"|"13348804"
|||"Dip"|"34781780"|"13349041"
|"Side Slope"|||"34782113"|"13349689"
|||"Talf"|"34781666"|"13348891"
|"Side Slope"|||"34781629"|"13348862"
|||"Talf"|"34781592"|"13348827"
|"Interfluve"|||"34781872"|"13349243"
|"Side Slope"|||"34781872"|"13349244"
|"Interfluve"|||"34781743"|"13348987"
|||"Talf"|"34782030"|"13349602"
|"Crest"|||"34781957"|"13349459"
|"Side Slope"|||"34781894"|"13349276"
|"Side Slope"|||"34781732"|"13348982"
||"Tread"||"34782207"|"13349865"
|"Side Slope"|||"34781640"|"13348866"
|"Side Slope"|||"34781729"|"13348981"
|||"Talf"|"34782155"|"13349755"
|"Side Slope"|||"34782250"|"13349949"
|||"Talf"|"34781755"|"13349001"
|||"Rise"|"34781570"|"13348816"
|||"Rise"|"34781916"|"13349291"
|||"Rise"|"34781691"|"13348949"
||"Tread"||"34782032"|"13349604"
|"Side Slope"|||"34782249"|"13349948"
|||"Talf"|"34781986"|"13349494"
|||"Talf"|"34782135"|"13349744"
|"Interfluve"|||"34782251"|"13349950"
|||"Flat"|"34781581"|"13348822"
||"Riser"||"34782008"|"13349537"
||||"34782124"|"13349704"
|||"Rise"|"34782145"|"13349749"
|||"Talf"|"34781840"|"13349199"
||"Riser"||"34781644"|"13348868"
||"Tread"||"34781644"|"13348867"
|"Interfluve"|||"34781718"|"13348967"
|||"Dip"|"34781813"|"13349101"
|"Interfluve"|||"34782028"|"13349578"
|"Side Slope"|||"34781864"|"13349238"
|||"Talf"|"34781934"|"13349378"
|||"Rise"|"34781744"|"13348994"
|||"Talf"|"34781596"|"13348845"
|||"Talf"|"34782050"|"13349616"
||"Tread"||"34782229"|"13349879"
|||"Rise"|"34781585"|"13348824"
|||"Rise"|"34781707"|"13348957"
|"Side Slope"|||"34782187"|"13349792"
|||"Dip"|"34781912"|"13349289"
|"Side Slope"|||"34782166"|"13349768"
|||"Talf"|"34781670"|"13348894"
||"Tread"||"34781696"|"13348952"
||||"34782208"|"13349866"
|||"Talf"|"34781842"|"13349200"
|||"Flat"|"34782061"|"13349623"
|||"Dip"|"34781659"|"13348881"
||"Riser"||"34781588"|"13348825"
|||"Flat"|"34781559"|"13348807"
|||"Talf"|"34782134"|"13349743"
||"Tread"||"34782072"|"13349628"
||"Riser"||"34782039"|"13349607"
|||"Rise"|"34781783"|"13349043"
|||"Rise"|"34781667"|"13348892"
|"Side Slope"|||"34781680"|"13348937"
|"Interfluve"|||"34782184"|"13349791"
|"Side Slope"|||"34781870"|"13349242"
||"Tread"||"34782221"|"13349873"
|||"Rise"|"34782147"|"13349750"
||||"34782073"|"13349629"
|"Crest"|||"34781944"|"13349393"
|||"Dip"|"34781922"|"13349294"
|||"Flat"|"34781552"|"13348801"
|"Side Slope"|||"34781896"|"13349277"
|||"Rise"|"34781698"|"13348953"
||"Tread"||"34781844"|"13349226"
||"Riser"||"34782243"|"13349945"
|||"Rise"|"34781656"|"13348879"
|||"Rise"|"34781838"|"13349197"
||"Tread"||"34782173"|"13349769"
||"Tread"||"34782136"|"13349745"
|||"Rise"|"34781553"|"13348802"
||||"34782210"|"13349867"
|||"Rise"|"34782011"|"13349538"
||"Tread"||"34782217"|"13349871"
||"Tread"||"34782092"|"13349653"
|"Side Slope"|||"34781615"|"13348856"
|||"Talf"|"34781959"|"13349460"
|"Side Slope"|||"34781860"|"13349235"
|||"Dip"|"34781761"|"13349004"
|||"Dip"|"34781834"|"13349195"
|||"Dip"|"34782199"|"13349855"
|||"Talf"|"34781711"|"13348965"
|||"Flat"|"34782114"|"13349690"
|"Interfluve"|||"34781792"|"13349082"
|"Interfluve"|||"34781722"|"13348969"
|||"Dip"|"34782055"|"13349618"
|"Interfluve"|||"34781885"|"13349260"
|||"Flat"|"34781563"|"13348811"
|||"Dip"|"34781750"|"13348998"
|"Crest"|||"34781881"|"13349258"
||"Tread"||"34781803"|"13349087"
||"Tread"||"34781848"|"13349227"
|||"Talf"|"34781816"|"13349103"
||||"34782228"|"13349878"
|"Side Slope"|||"34781617"|"13348857"
|||"Talf"|"34782254"|"13349952"
|"Side Slope"|||"34781678"|"13348936"
|||"Rise"|"34781824"|"13349110"
|"Side Slope"|||"34781742"|"13348986"
||"Tread"||"34781647"|"13348869"
|||"Rise"|"34781837"|"13349196"
|||"Talf"|"34782111"|"13349688"
|||"Dip"|"34782048"|"13349615"
|"Side Slope"|||"34782180"|"13349790"
|||"Rise"|"34781974"|"13349472"
|||"Dip"|"34781710"|"13348959"
|||"Rise"|"34782154"|"13349754"
||"Tread"||"34782069"|"13349627"
|||"Talf"|"34781926"|"13349373"
|||"Dip"|"34781937"|"13349379"
|||"Flat"|"34782059"|"13349621"
|||"Rise"|"34781753"|"13349000"
|||"Dip"|"34781814"|"13349102"
|"Interfluve"|||"34781689"|"13348948"
|||"Talf"|"34781874"|"13349245"
||"Riser"||"34781595"|"13348828"
|||"Flat"|"34781668"|"13348893"
|"Interfluve"|||"34781863"|"13349237"
||"Tread"||"34782106"|"13349654"
|"Interfluve"|||"34781948"|"13349395"
|||"Flat"|"34781752"|"13348999"
|"Side Slope"|||"34781955"|"13349458"
|||"Talf"|"34782058"|"13349620"
||"Tread"||"34782074"|"13349630"
|||"Talf"|"34781992"|"13349529"
|||"Talf"|"34781554"|"13348803"
|"Crest"|||"34781889"|"13349262"
||"Tread"||"34781856"|"13349230"
|"Interfluve"|||"34782195"|"13349796"
||"Tread"||"34781852"|"13349229"
|||"Dip"|"34781575"|"13348818"
|||"Talf"|"34781911"|"13349288"
|||"Rise"|"34781952"|"13349457"
|||"Dip"|"34781604"|"13348849"
|||"Talf"|"34781762"|"13349005"
|||"Dip"|"34782133"|"13349742"
|||"Rise"|"34781658"|"13348880"
|||"Rise"|"34782117"|"13349693"
|||"Talf"|"34781562"|"13348810"
|"Side Slope"|||"34782018"|"13349564"
|||"Rise"|"34782121"|"13349695"
|||"Talf"|"34781915"|"13349290"
||"Tread"||"34781830"|"13349193"
|||"Rise"|"34781981"|"13349492"
