"Loamy fine sand"||"136601147"|"138942464"
"Loam"||"136601148"|"138942635"
"Silty clay"||"136601149"|"138942763"
"Silty clay loam"||"136601150"|"138942584"
"Silt loam"||"136601151"|"138942764"
"Clay"||"136601152"|"138943072"
"Silty clay loam"||"136601153"|"138942583"
"Silt loam"||"136601154"|"138942807"
"Loam"||"136601155"|"138942631"
"Silty clay loam"||"136601156"|"138942808"
"Clay loam"||"136601157"|"138942649"
"Silt loam"||"136601158"|"138942474"
"Sandy loam"||"136601159"|"138942461"
"Loam"||"136601160"|"138942650"
"Fine sandy loam"||"136601161"|"138942475"
"Silt loam"||"136601162"|"138942984"
"Silty clay"||"136601163"|"138943080"
"Silty clay loam"||"136601164"|"138942769"
"Silty clay loam"||"136601165"|"138942589"
"Silt loam"||"136601166"|"138942770"
"Loam"||"136601167"|"138942590"
"Silt loam"||"136601168"|"138943079"
"Fine sandy loam"||"136601169"|"138943073"
"Fine sandy loam"||"136601170"|"138943074"
"Sandy loam"||"136601171"|"138943075"
"Loamy fine sand"||"136601172"|"138943076"
"Sandy loam"||"136601173"|"138942585"
"Loam"||"136601174"|"138942765"
"Silt loam"||"136601175"|"138942586"
"Sandy clay loam"||"136601176"|"138942766"
"Very fine sandy loam"||"136601177"|"138942925"
"Sand"||"136601177"|"138942926"
"Silty clay loam"||"136601178"|"138942476"
"Loam"||"136601179"|"138942869"
"Silty clay loam"||"136601180"|"138942870"
"Clay loam"||"136601181"|"138942529"
"Silt loam"||"136601182"|"138942712"
"Sandy loam"||"136601183"|"138942530"
"Loam"||"136601184"|"138942713"
"Fine sandy loam"||"136601185"|"138942531"
"Silt loam"||"136601186"|"138943031"
"Silty clay"||"136601187"|"138942767"
"Silty clay loam"||"136601188"|"138942588"
"Silty clay loam"||"136601189"|"138942768"
"Silt loam"||"136601190"|"138943077"
"Loam"||"136601191"|"138943078"
"Silt loam"||"136601192"|"138942587"
"Loam"||"136601193"|"138943030"
"Clay loam"||"136601194"|"138942522"
"Sandy clay loam"||"136601195"|"138942705"
"Loamy fine sand"||"136601196"|"138942854"
"Loamy sand"||"136601197"|"138942855"
"Fine sand"||"136601198"|"138942856"
"Loam"||"136601199"|"138942523"
"Very fine sandy loam"||"136601200"|"138942706"
"Sandy loam"||"136601201"|"138942524"
"Fine sandy loam"||"136601202"|"138942853"
"Fine sandy loam"||"136601203"|"138943029"
"Fine sandy loam"||"136601204"|"138943062"
"Sandy clay loam"||"136601205"|"138942752"
"Clay loam"||"136601206"|"138942574"
"Loam"||"136601207"|"138942753"
"Fine sandy loam"||"136601208"|"138942912"
"Loam"||"136601209"|"138942913"
"Sandy loam"||"136601210"|"138942914"
"Fine sand"||"136601211"|"138942915"
"Loamy fine sand"||"136601212"|"138942754"
"Sand"||"136601213"|"138942575"
"Loam"||"136601214"|"138943063"
"Fine sandy loam"||"136601215"|"138942573"
"Silt loam"||"136601216"|"138942747"
"Silt loam"||"136601217"|"138943056"
"Silt loam"||"136601218"|"138943057"
"Loam"||"136601219"|"138943058"
"Silty clay loam"||"136601220"|"138943059"
