|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394472"|"121800365"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394472"|"121800366"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"23394472"|"121800367"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394472"|"121800368"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394472"|"121800369"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394472"|"121800370"
|10||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394472"|"121800371"
|10||"QUNI"|"Quercus nigra"|"water oak"|"23394472"|"121800372"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394472"|"121800373"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"23394565"|"121800494"
|9||"CAIL2"|"Carya illinoinensis"|"pecan"|"23394565"|"121800495"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"23394565"|"121800496"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394565"|"121800497"
|9||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394565"|"121800498"
|11||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394565"|"121800499"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394565"|"121800500"
|4||"ILDE"|"Ilex decidua"|"possumhaw"|"23394565"|"121800501"
|7||"PIVI2"|"Pinus virginiana"|"Virginia pine"|"23394565"|"121800502"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394565"|"121800503"
|11||"PITA"|"Pinus taeda"|"loblolly pine"|"23394565"|"121800504"
|9||"QUPA5"|"Quercus pagoda"|"cherrybark oak"|"23394565"|"121800505"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394501"|"121800410"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394501"|"121800411"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394501"|"121800412"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394501"|"121800413"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"23394501"|"121800414"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394501"|"121800415"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394501"|"121800416"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394501"|"121800417"
|10||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394501"|"121800418"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394501"|"121800419"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394501"|"121800420"
|10||"QUNI"|"Quercus nigra"|"water oak"|"23394501"|"121800421"
|2||"COAM2"|"Cornus amomum"|"silky dogwood"|"23394476"|"121800386"
|10||"TADI2"|"Taxodium distichum"|"baldcypress"|"23394476"|"121800387"
|2||"CEPHA"|"Cephalanthus"|"buttonbush"|"23394476"|"121800388"
|8||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"23394476"|"121800389"
|11||"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"23394476"|"121800390"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394476"|"121800391"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"23394476"|"121800392"
|4||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"23394476"|"121800393"
|11||"PLOC"|"Platanus occidentalis"|"American sycamore"|"23394476"|"121800394"
|11||"QUPA2"|"Quercus palustris"|"pin oak"|"23394476"|"121800395"
|10||"QUNI"|"Quercus nigra"|"water oak"|"23394476"|"121800396"
|9||"PITA"|"Pinus taeda"|"loblolly pine"|"23394476"|"121800397"
|15||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"23394506"|"121800422"
