"SIC"|No |Yes|"Silty clay"|"69342629"|"140043776"
"C"|No |No |"Clay"|"69342629"|"140043777"
"C"|No |No |"Clay"|"69342608"|"140043738"
"SIL"|No |No |"Silt loam"|"69342608"|"140043739"
"SR- SIC"|Yes|Yes|"Stratified silty clay"|"69342608"|"140043740"
"SIC"|No |No |"Silty clay"|"69342677"|"140043879"
"C"|No |Yes|"Clay"|"69342677"|"140043880"
"C"|No |Yes|"Clay"|"69342582"|"140043688"
"SR- VFSL SICL C"|Yes|No |"Stratified very fine sandy loam to silty clay loam to clay"|"69342582"|"140043689"
"C"|No |Yes|"Clay"|"69342661"|"140043846"
"C"|No |Yes|"Clay"|"69342640"|"140043798"
"CL"|No |No |"Clay loam"|"69342650"|"140043820"
"SIL"|No |Yes|"Silt loam"|"69342650"|"140043821"
"SICL"|No |No |"Silty clay loam"|"69342650"|"140043822"
"SICL"|No |No |"Silty clay loam"|"69342687"|"140043899"
"SIL"|No |Yes|"Silt loam"|"69342687"|"140043900"
"L"|No |No |"Loam"|"69342687"|"140043901"
"SIL"|No |Yes|"Silt loam"|"69342609"|"140043741"
"SR VFSL SICL"|Yes|Yes|"SR to very fine sandy loam to silty clay loam"|"69342635"|"140043786"
"SIC"|No |No |"Silty clay"|"69342620"|"140043760"
"C"|No |Yes|"Clay"|"69342620"|"140043761"
"SIC"|No |Yes|"Silty clay"|"69342672"|"140043866"
"SICL"|No |No |"Silty clay loam"|"69342581"|"140043685"
"SIL"|No |Yes|"Silt loam"|"69342581"|"140043686"
"L"|No |No |"Loam"|"69342581"|"140043687"
"SICL"|No |Yes|"Silty clay loam"|"69342612"|"140043745"
"S"|No |Yes|"Sand"|"69342680"|"140043886"
"LS"|No |No |"Loamy sand"|"69342680"|"140043887"
"LFS"|No |No |"Loamy fine sand"|"69342680"|"140043888"
"SICL"|No |Yes|"Silty clay loam"|"69342628"|"140043774"
"SIL"|No |No |"Silt loam"|"69342628"|"140043775"
"SIL"|No |Yes|"Silt loam"|"69342589"|"140043701"
"SIL"|No |Yes|"Silt loam"|"69342600"|"140043724"
"C"|No |Yes|"Clay"|"69342691"|"140043907"
"C"|No |Yes|"Clay"|"69342622"|"140043765"
"L"|No |No |"Loam"|"69342601"|"140043725"
"SIL"|No |No |"Silt loam"|"69342601"|"140043726"
"SICL"|No |Yes|"Silty clay loam"|"69342601"|"140043727"
"C"|No |No |"Clay"|"69342639"|"140043796"
"SIC"|No |Yes|"Silty clay"|"69342639"|"140043797"
"SICL"|No |No |"Silty clay loam"|"69342676"|"140043876"
"C"|No |Yes|"Clay"|"69342676"|"140043877"
"SIC"|No |No |"Silty clay"|"69342676"|"140043878"
"C"|No |Yes|"Clay"|"69342621"|"140043762"
"SICL"|No |No |"Silty clay loam"|"69342621"|"140043763"
"SIL"|No |No |"Silt loam"|"69342621"|"140043764"
"C"|No |Yes|"Clay"|"69342579"|"140043682"
"MK-C"|No |No |"Mucky clay"|"69342579"|"140043683"
"C"|No |No |"Clay"|"69342643"|"140043807"
"SIC"|No |Yes|"Silty clay"|"69342643"|"140043808"
"SIL"|No |Yes|"Silt loam"|"69342580"|"140043684"
"CL"|No |No |"Clay loam"|"69342654"|"140043831"
"SIL"|No |Yes|"Silt loam"|"69342654"|"140043832"
"SICL"|No |No |"Silty clay loam"|"69342654"|"140043833"
"SIC"|No |No |"Silty clay"|"69342611"|"140043743"
"C"|No |Yes|"Clay"|"69342611"|"140043744"
"C"|No |Yes|"Clay"|"69342590"|"140043702"
"SICL"|No |No |"Silty clay loam"|"69342590"|"140043703"
"SIL"|No |No |"Silt loam"|"69342590"|"140043704"
"SICL"|No |No |"Silty clay loam"|"69342665"|"140043854"
"C"|No |Yes|"Clay"|"69342665"|"140043855"
"SIC"|No |No |"Silty clay"|"69342665"|"140043856"
"C"|No |Yes|"Clay"|"69342606"|"140043736"
"SR VFSL SICL"|Yes|Yes|"SR to very fine sandy loam to silty clay loam"|"69342632"|"140043782"
"C"|No |Yes|"Clay"|"69342595"|"140043712"
"SIL"|No |Yes|"Silt loam"|"69342653"|"140043830"
"C"|No |Yes|"Clay"|"69342584"|"140043691"
"SIL"|No |Yes|"Silt loam"|"69342617"|"140043755"
"SIC"|No |No |"Silty clay"|"69342674"|"140043871"
"C"|No |Yes|"Clay"|"69342674"|"140043872"
"SICL"|No |No |"Silty clay loam"|"69342674"|"140043873"
"C"|No |No |"Clay"|"69342663"|"140043849"
"SIL"|No |No |"Silt loam"|"69342663"|"140043850"
"SR- SIC"|Yes|Yes|"Stratified silty clay"|"69342663"|"140043851"
"C"|No |Yes|"Clay"|"69342591"|"140043705"
"SL"|No |No |"Sandy loam"|"69342673"|"140043867"
"SIL"|No |No |"Silt loam"|"69342673"|"140043868"
"L"|No |No |"Loam"|"69342673"|"140043869"
