"Firm"|||||||Yes|"69342652"|"8298997"
"Very firm"|||||||Yes|"69342630"|"8298993"
"Friable"|||||||Yes|"69342627"|"8298990"
"Friable"|||||||Yes|"69342649"|"8298994"
"Very firm"|||||||Yes|"69342629"|"8298992"
"Friable"|||||||Yes|"69342650"|"8298995"
"Firm"|||||||Yes|"69342628"|"8298991"
"Friable"|||||||Yes|"69342651"|"8298996"
