"SAAL5"|"Sassafras albidum"|"sassafras"|"21291770"|"36079627"
"UNKNOWN"|"unknown scientific name"|"chinkapin oak"|"21291770"|"36079628"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291771"|"36079629"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291771"|"36079630"
"CAGL8"|"Carya glabra"|"pignut hickory"|"21291771"|"36079631"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291771"|"36079632"
"CATE9"|"Carya texana"|"black hickory"|"21291771"|"36079633"
"CRCR2"|"Crataegus crus-galli"|"cockspur hawthorn"|"21291771"|"36079634"
"COFL2"|"Cornus florida"|"flowering dogwood"|"21291771"|"36079635"
"CAAL27"|"Carya alba"|"mockernut hickory"|"21291771"|"36079636"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291771"|"36079637"
"QUFA"|"Quercus falcata"|"southern red oak"|"21291771"|"36079638"
"FRAM2"|"Fraxinus americana"|"white ash"|"21291771"|"36079639"
"NYSY"|"Nyssa sylvatica"|"blackgum"|"21291771"|"36079640"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291771"|"36079641"
"QUIM"|"Quercus imbricaria"|"Shingle oak"|"21291771"|"36079642"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21291771"|"36079643"
"QUCO2"|"Quercus coccinea"|"scarlet oak"|"21291771"|"36079644"
"QUVE"|"Quercus velutina"|"black oak"|"21291771"|"36079645"
"QUMA3"|"Quercus marilandica"|"blackjack oak"|"21291771"|"36079646"
"UNKNOWN"|"unknown scientific name"|"chinkapin oak"|"21291771"|"36079647"
"QURU"|"Quercus rubra"|"northern red oak"|"21291771"|"36079648"
"QUST"|"Quercus stellata"|"post oak"|"21291771"|"36079649"
"SAAL5"|"Sassafras albidum"|"sassafras"|"21291771"|"36079650"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291772"|"36079651"
"QUFA"|"Quercus falcata"|"southern red oak"|"21291772"|"36079652"
"PIEC2"|"Pinus echinata"|"shortleaf pine"|"21291772"|"36079653"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291772"|"36079654"
"MORU2"|"Morus rubra"|"red mulberry"|"21291772"|"36079655"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291772"|"36079656"
"CAGL8"|"Carya glabra"|"pignut hickory"|"21291772"|"36079657"
"QUAL"|"Quercus alba"|"white oak"|"21291772"|"36079658"
"DIVI5"|"Diospyros virginiana"|"persimmon"|"21291772"|"36079659"
"QUIM"|"Quercus imbricaria"|"Shingle oak"|"21291772"|"36079660"
"QUMA2"|"Quercus macrocarpa"|"bur oak"|"21291772"|"36079661"
"QURU"|"Quercus rubra"|"northern red oak"|"21291772"|"36079662"
"QUVE"|"Quercus velutina"|"black oak"|"21291772"|"36079663"
"QUST"|"Quercus stellata"|"post oak"|"21291772"|"36079664"
"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"21291772"|"36079665"
"SAAL5"|"Sassafras albidum"|"sassafras"|"21291772"|"36079666"
"ACRU"|"Acer rubrum"|"red maple"|"21291777"|"36079667"
"QUPA2"|"Quercus palustris"|"pin oak"|"21291777"|"36079668"
"CRVI2"|"Crataegus viridis"|"green hawthorn"|"21291777"|"36079669"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291777"|"36079670"
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21291777"|"36079671"
"PITA"|"Pinus taeda"|"loblolly pine"|"21291777"|"36079672"
"QUMA2"|"Quercus macrocarpa"|"bur oak"|"21291777"|"36079673"
"CALA21"|"Carya laciniosa"|"shellbark hickory"|"21291778"|"36079674"
"ACRU"|"Acer rubrum"|"red maple"|"21291778"|"36079675"
"ACSA2"|"Acer saccharinum"|"silver maple"|"21291778"|"36079676"
"CAIL2"|"Carya illinoinensis"|"pecan"|"21291778"|"36079677"
"PLOC"|"Platanus occidentalis"|"American sycamore"|"21291778"|"36079678"
"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"21291778"|"36079679"
"LIST2"|"Liquidambar styraciflua"|"sweetgum"|"21291778"|"36079680"
"CRVI2"|"Crataegus viridis"|"green hawthorn"|"21291778"|"36079681"
"PODE3"|"Populus deltoides"|"eastern cottonwood"|"21291778"|"36079682"
"PITA"|"Pinus taeda"|"loblolly pine"|"21291778"|"36079683"
"QUPA2"|"Quercus palustris"|"pin oak"|"21291778"|"36079684"
"SANI"|"Salix nigra"|"black willow"|"21291778"|"36079685"
"CAOV2"|"Carya ovata"|"shagbark hickory"|"21291779"|"36079686"
"TIAM"|"Tilia americana"|"American basswood"|"21291779"|"36079687"
"QUVE"|"Quercus velutina"|"black oak"|"21291779"|"36079688"
"CACO15"|"Carya cordiformis"|"bitternut hickory"|"21291779"|"36079689"
"MORU2"|"Morus rubra"|"red mulberry"|"21291779"|"36079690"
"AMAR3"|"Amelanchier arborea"|"common serviceberry"|"21291779"|"36079691"
"ASTR"|"Asimina triloba"|"pawpaw"|"21291779"|"36079692"
"JUNI"|"Juglans nigra"|"black walnut"|"21291779"|"36079693"
"PRSE2"|"Prunus serotina"|"black cherry"|"21291779"|"36079694"
