"not used"|"21291762"|"14898052"
"not used"|"21291763"|"14898051"
"not used"|"21291764"|"14898012"
"not used"|"21291765"|"14898336"
"not used"|"21291766"|"14898013"
"not used"|"21291768"|"14898024"
"not used"|"21291769"|"14898375"
"not used"|"21291771"|"14898020"
"not used"|"21291772"|"14898354"
"not used"|"21291773"|"14898377"
"not used"|"21291774"|"14898026"
"not used"|"21291776"|"14898059"
"not used"|"21291777"|"14898093"
"not used"|"21291778"|"14898056"
"not used"|"21291779"|"14898010"
"not used"|"21291780"|"14898014"
"not used"|"21291781"|"14898057"
"not used"|"21291782"|"14898058"
"not used"|"21291783"|"14898017"
"not used"|"21291784"|"14898018"
"not used"|"21291785"|"14898050"
"not used"|"21291786"|"14898011"
"not used"|"21291787"|"14898053"
"not used"|"21291788"|"14898054"
"not used"|"21291789"|"14898055"
"not used"|"21291790"|"14898015"
"not used"|"21291791"|"14898016"
"not used"|"21291792"|"14898353"
"not used"|"21291793"|"14898023"
"not used"|"21291794"|"14898376"
"not used"|"21291795"|"14898374"
"not used"|"21291796"|"14898370"
"not used"|"21291797"|"14898372"
"not used"|"21291798"|"14898028"
"not used"|"21291799"|"14898339"
"not used"|"21291800"|"14898031"
"not used"|"21291802"|"14898019"
"not used"|"21291803"|"14898061"
"not used"|"21291804"|"14898345"
"not used"|"21291805"|"14898062"
"not used"|"21291806"|"14898346"
"not used"|"21291807"|"14898021"
"not used"|"21291808"|"14898060"
"not used"|"21291809"|"14898063"
"not used"|"21291810"|"14898094"
"not used"|"21291811"|"14898030"
"not used"|"21291813"|"14898366"
"not used"|"21291814"|"14898045"
"not used"|"21291817"|"14898070"
"not used"|"21291818"|"14898092"
"not used"|"21291819"|"14898025"
"not used"|"21291820"|"14898357"
"not used"|"21291822"|"14898337"
"not used"|"21291823"|"14898048"
"not used"|"21291824"|"14898064"
"not used"|"21291825"|"14898367"
"not used"|"21291826"|"14898035"
"not used"|"21291829"|"14898032"
"not used"|"21291830"|"14898348"
"not used"|"21291831"|"14898347"
"not used"|"21291832"|"14898362"
"not used"|"21291834"|"14898359"
"not used"|"21291835"|"14898089"
"not used"|"21291836"|"14898095"
"not used"|"21291837"|"14898096"
"not used"|"21291838"|"14898069"
"not used"|"21291839"|"14898109"
"not used"|"21291840"|"14898110"
"not used"|"21291841"|"14898102"
"not used"|"21291842"|"14898103"
"not used"|"21291843"|"14898369"
"not used"|"21291844"|"14898022"
"not used"|"21291845"|"14898368"
"not used"|"21291846"|"14898349"
"not used"|"21291847"|"14898027"
"not used"|"21291848"|"14898373"
"not used"|"21291849"|"14898371"
"not used"|"21291850"|"14898029"
"not used"|"21291851"|"14898326"
"not used"|"21291852"|"14898324"
"not used"|"21291853"|"14898325"
"not used"|"21291854"|"14898323"
"not used"|"21291855"|"14898040"
"not used"|"21291856"|"14898327"
"not used"|"21291857"|"14898329"
"not used"|"21291858"|"14898330"
"not used"|"21291859"|"14898360"
"not used"|"21291860"|"14898033"
"not used"|"21291861"|"14898361"
"not used"|"21291862"|"14898363"
"not used"|"21291863"|"14898364"
"not used"|"21291864"|"14898365"
"not used"|"21291865"|"14898034"
"not used"|"21291867"|"14898112"
"not used"|"21291868"|"14898113"
"not used"|"21291869"|"14898114"
"not used"|"21291870"|"14898118"
"not used"|"21291871"|"14898117"
"not used"|"21291872"|"14898119"
"not used"|"21291873"|"14898120"
"not used"|"21291874"|"14898121"
"not used"|"21291875"|"14898343"
"not used"|"21291876"|"14898043"
"not used"|"21291877"|"14898344"
"not used"|"21291878"|"14898342"
"not used"|"21291879"|"14898086"
"not used"|"21291880"|"14898088"
"not used"|"21291881"|"14898067"
"not used"|"21291882"|"14898085"
"not used"|"21291883"|"14898331"
"not used"|"21291884"|"14898328"
"not used"|"21291885"|"14898041"
"not used"|"21291886"|"14898319"
"not used"|"21291887"|"14898042"
"not used"|"21291888"|"14898320"
"not used"|"21291889"|"14898322"
"not used"|"21291890"|"14898321"
"not used"|"21291891"|"14898036"
"not used"|"21291892"|"14898358"
"not used"|"21291893"|"14898037"
"not used"|"21291894"|"14898338"
"not used"|"21291896"|"14898039"
"not used"|"21291897"|"14898355"
"not used"|"21291898"|"14898356"
"not used"|"21291899"|"14898126"
"not used"|"21291900"|"14898125"
"not used"|"21291901"|"14898128"
"not used"|"21291902"|"14898378"
"not used"|"21291903"|"14898127"
"not used"|"21291904"|"14898194"
"not used"|"21291905"|"14898135"
"not used"|"21291907"|"14898087"
"not used"|"21291908"|"14898068"
"not used"|"21291909"|"14898081"
"not used"|"21291910"|"14898082"
"not used"|"21291911"|"14898075"
"not used"|"21291912"|"14898074"
"not used"|"21291913"|"14898097"
"not used"|"21291914"|"14898115"
"not used"|"21291915"|"14898334"
"not used"|"21291916"|"14898335"
"not used"|"21291917"|"14898047"
"not used"|"21291918"|"14898332"
"not used"|"21291919"|"14898333"
"not used"|"21291920"|"14898046"
"not used"|"21291921"|"14898066"
"not used"|"21291922"|"14898091"
"not used"|"21291923"|"14898038"
"not used"|"21291924"|"14898340"
"not used"|"21291925"|"14898065"
"not used"|"21291926"|"14898341"
"not used"|"21291927"|"14898044"
"not used"|"21291928"|"14898352"
"not used"|"21291929"|"14898351"
"not used"|"21291930"|"14898350"
"not used"|"21291931"|"14898134"
"not used"|"21291932"|"14898195"
"not used"|"21291933"|"14898136"
"not used"|"21291934"|"14898230"
"not used"|"21291935"|"14898228"
"not used"|"21291936"|"14898229"
"not used"|"21291937"|"14898286"
"not used"|"21291938"|"14898304"
"not used"|"21291939"|"14898116"
"not used"|"21291940"|"14898133"
"not used"|"21291941"|"14898197"
"not used"|"21291942"|"14898196"
"not used"|"21291943"|"14898132"
"not used"|"21291944"|"14898298"
"not used"|"21291945"|"14898299"
"not used"|"21291946"|"14898138"
"not used"|"21291947"|"14898090"
"not used"|"21291948"|"14898101"
"not used"|"21291949"|"14898111"
"not used"|"21291950"|"14898129"
"not used"|"21291951"|"14898130"
"not used"|"21291953"|"14898296"
"not used"|"21291954"|"14898297"
"not used"|"21291955"|"14898049"
"not used"|"21291956"|"14898098"
"not used"|"21291957"|"14898084"
"not used"|"21291958"|"14898083"
"not used"|"21291959"|"14898079"
"not used"|"21291960"|"14898080"
"not used"|"21291961"|"14898071"
"not used"|"21291962"|"14898072"
"not used"|"21291963"|"14898287"
"not used"|"21291964"|"14898143"
"not used"|"21291966"|"14898295"
"not used"|"21291967"|"14898302"
"not used"|"21291969"|"14898145"
"not used"|"21291970"|"14898144"
"not used"|"21291971"|"14898294"
"not used"|"21291972"|"14898301"
"not used"|"21291974"|"14898147"
"not used"|"21291975"|"14898146"
"not used"|"21291976"|"14898270"
"not used"|"21291977"|"14898151"
"not used"|"21291978"|"14898269"
