11000|"531333"|"564332"|"31755608"
11000|"531334"|"564332"|"31755607"
11000|"531337"|"564332"|"31755546"
1790|"531333"|"564333"|"31755552"
1790|"531334"|"564333"|"31755551"
1790|"531337"|"564333"|"31755518"
12360|"531333"|"564334"|"31755554"
12360|"531334"|"564334"|"31755553"
12360|"531337"|"564334"|"31755519"
4700|"531333"|"564335"|"31755556"
4700|"531334"|"564335"|"31755555"
4700|"531337"|"564335"|"31755520"
22460|"531333"|"564336"|"31755558"
22460|"531334"|"564336"|"31755557"
22460|"531337"|"564336"|"31755521"
4860|"531333"|"564337"|"31755560"
4860|"531334"|"564337"|"31755559"
4860|"531337"|"564337"|"31755522"
4240|"531333"|"564338"|"31755610"
4240|"531334"|"564338"|"31755609"
4240|"531337"|"564338"|"31755547"
14210|"531333"|"564339"|"31755562"
14210|"531334"|"564339"|"31755561"
14210|"531337"|"564339"|"31755523"
8740|"531333"|"564340"|"31755564"
8740|"531334"|"564340"|"31755563"
8740|"531337"|"564340"|"31755524"
2010|"531333"|"564341"|"31755566"
2010|"531334"|"564341"|"31755565"
2010|"531337"|"564341"|"31755525"
|"531332"|"564342"|"31755612"
34300|"531333"|"564342"|"31755611"
34300|"531334"|"564342"|"31755548"
|"531335"|"564342"|"31755616"
|"531336"|"564342"|"31755615"
34300|"531337"|"564342"|"31755614"
|"531338"|"564342"|"31755613"
3980|"531333"|"564343"|"31755568"
3980|"531334"|"564343"|"31755567"
3980|"531337"|"564343"|"31755526"
5240|"531333"|"564344"|"31755570"
5240|"531334"|"564344"|"31755569"
5240|"531337"|"564344"|"31755527"
1340|"531333"|"564345"|"31755572"
1340|"531334"|"564345"|"31755571"
1340|"531337"|"564345"|"31755528"
2790|"531333"|"564346"|"31755574"
2790|"531334"|"564346"|"31755573"
2790|"531337"|"564346"|"31755529"
1520|"531333"|"564347"|"31755576"
1520|"531334"|"564347"|"31755575"
1520|"531337"|"564347"|"31755530"
11430|"531333"|"564348"|"31755578"
11430|"531334"|"564348"|"31755577"
11430|"531337"|"564348"|"31755531"
7540|"531333"|"564350"|"31755580"
7540|"531334"|"564350"|"31755579"
7540|"531337"|"564350"|"31755532"
2230|"531333"|"564351"|"31755582"
2230|"531334"|"564351"|"31755581"
2230|"531337"|"564351"|"31755533"
4870|"531333"|"564352"|"31755584"
4870|"531334"|"564352"|"31755583"
4870|"531337"|"564352"|"31755534"
50550|"531333"|"564353"|"31755586"
50550|"531334"|"564353"|"31755585"
50550|"531337"|"564353"|"31755535"
3970|"531333"|"564354"|"31755604"
3970|"531334"|"564354"|"31755603"
3970|"531337"|"564354"|"31755544"
85490|"531333"|"564355"|"31755606"
85490|"531334"|"564355"|"31755605"
85490|"531337"|"564355"|"31755545"
11680|"531333"|"564356"|"31755588"
11680|"531334"|"564356"|"31755587"
11680|"531337"|"564356"|"31755536"
120390|"531333"|"564357"|"31755618"
120390|"531334"|"564357"|"31755617"
|"531335"|"564357"|"31755549"
|"531336"|"564357"|"31755620"
120390|"531337"|"564357"|"31755619"
15990|"531333"|"564358"|"31755590"
15990|"531334"|"564358"|"31755589"
15990|"531337"|"564358"|"31755537"
7940|"531333"|"564359"|"31755592"
7940|"531334"|"564359"|"31755591"
7940|"531337"|"564359"|"31755538"
18660|"531333"|"564360"|"31755594"
18660|"531334"|"564360"|"31755593"
18660|"531337"|"564360"|"31755539"
4290|"531333"|"564361"|"31755596"
4290|"531334"|"564361"|"31755595"
4290|"531337"|"564361"|"31755540"
19500|"531333"|"564362"|"31755598"
19500|"531334"|"564362"|"31755597"
19500|"531337"|"564362"|"31755541"
7580|"531333"|"564363"|"31755600"
7580|"531334"|"564363"|"31755599"
7580|"531337"|"564363"|"31755542"
65450|"531333"|"564364"|"31755622"
65450|"531334"|"564364"|"31755621"
|"531335"|"564364"|"31755550"
|"531336"|"564364"|"31755625"
65450|"531337"|"564364"|"31755624"
|"531338"|"564364"|"31755623"
17584|"531333"|"564365"|"31755602"
17584|"531334"|"564365"|"31755601"
17584|"531337"|"564365"|"31755543"
