||"Tread"||"36834589"|"14304135"
|||"Talf"|"36834515"|"14304183"
|||"Talf"|"36834653"|"14304153"
|||"Talf"|"36834460"|"14304140"
|||"Talf"|"36834497"|"14304139"
|||"Talf"|"36834567"|"14304143"
||"Tread"||"36834643"|"14304150"
|||"Talf"|"36834578"|"14304178"
|||"Dip"|"36834526"|"14304170"
|||"Dip"|"36834654"|"14304154"
|||"Dip"|"36834642"|"14304151"
|||"Rise"|"36834534"|"14304165"
||"Tread"||"36834651"|"14304149"
||"Tread"||"36834603"|"14304138"
||"Riser"||"36834661"|"14304157"
|||"Talf"|"36834520"|"14304168"
||"Tread"||"36834650"|"14304148"
|||"Talf"|"36834614"|"14304146"
|||"Talf"|"36834531"|"14304160"
||"Tread"||"36834594"|"14304136"
|||"Rise"|"36834522"|"14304172"
||"Tread"||"36834500"|"14304142"
||"Tread"||"36834574"|"14304177"
|||"Talf"|"36834532"|"14304161"
|||"Talf"|"36834521"|"14304169"
||"Tread"||"36834576"|"14304179"
|||"Talf"|"36834658"|"14304158"
|||"Talf"|"36834506"|"14304144"
|||"Talf"|"36834517"|"14304182"
|||"Talf"|"36834539"|"14304162"
|||"Talf"|"36834583"|"14304176"
||"Tread"||"36834472"|"14304134"
|||"Dip"|"36834524"|"14304174"
||"Tread"||"36834477"|"14304141"
|||"Talf"|"36834535"|"14304166"
|||"Talf"|"36834513"|"14304181"
|||"Talf"|"36834660"|"14304156"
|||"Dip"|"36834529"|"14304173"
|||"Talf"|"36834645"|"14304180"
|||"Talf"|"36834656"|"14304152"
|||"Rise"|"36834518"|"14304167"
|||"Talf"|"36834610"|"14304145"
|||"Dip"|"36834655"|"14304155"
||"Tread"||"36834599"|"14304137"
|||"Talf"|"36834581"|"14304175"
|||"Talf"|"36834537"|"14304164"
|||"Talf"|"36834527"|"14304171"
|||"Talf"|"36834659"|"14304159"
|||"Talf"|"36834632"|"14304147"
|||"Rise"|"36834538"|"14304163"
