9757|"506355"|"367363"|"30175549"
9757|"506356"|"367363"|"30175344"
9757|"506357"|"367363"|"30175410"
9757|"506361"|"367363"|"30175652"
49401|"506355"|"367364"|"30175550"
49401|"506356"|"367364"|"30175345"
49401|"506357"|"367364"|"30175411"
49401|"506361"|"367364"|"30175653"
4693|"506355"|"367366"|"30175474"
4693|"506356"|"367366"|"30175269"
4693|"506360"|"367366"|"30175431"
4693|"506361"|"367366"|"30175577"
2898|"506355"|"367367"|"30175552"
2898|"506356"|"367367"|"30175347"
2898|"506357"|"367367"|"30175413"
2898|"506361"|"367367"|"30175655"
14797|"506355"|"367368"|"30175553"
14797|"506356"|"367368"|"30175348"
14797|"506357"|"367368"|"30175414"
14797|"506361"|"367368"|"30175656"
16608|"506355"|"367371"|"30175475"
16608|"506356"|"367371"|"30175270"
16608|"506357"|"367371"|"30175376"
16608|"506361"|"367371"|"30175578"
33048|"506355"|"367373"|"30175476"
33048|"506356"|"367373"|"30175271"
33048|"506357"|"367373"|"30175374"
33048|"506361"|"367373"|"30175579"
34515|"506355"|"367374"|"30175477"
34515|"506356"|"367374"|"30175272"
34515|"506357"|"367374"|"30175375"
34515|"506361"|"367374"|"30175580"
32560|"506355"|"367375"|"30175478"
32560|"506356"|"367375"|"30175273"
32560|"506357"|"367375"|"30175378"
32560|"506361"|"367375"|"30175581"
3876|"506355"|"367377"|"30175479"
3876|"506356"|"367377"|"30175274"
3876|"506360"|"367377"|"30175442"
3876|"506361"|"367377"|"30175582"
15560|"506355"|"367378"|"30175556"
15560|"506356"|"367378"|"30175351"
15560|"506357"|"367378"|"30175417"
15560|"506361"|"367378"|"30175659"
94084|"506355"|"367379"|"30175576"
94084|"506356"|"367379"|"30175371"
94084|"506357"|"367379"|"30175418"
94084|"506361"|"367379"|"30175679"
3896|"506355"|"367380"|"30175480"
3896|"506356"|"367380"|"30175275"
3896|"506357"|"367380"|"30175381"
3896|"506361"|"367380"|"30175583"
594|"506355"|"367381"|"30175558"
594|"506356"|"367381"|"30175353"
594|"506357"|"367381"|"30175420"
594|"506361"|"367381"|"30175661"
9330|"506355"|"367382"|"30175559"
9330|"506356"|"367382"|"30175354"
9330|"506357"|"367382"|"30175421"
9330|"506361"|"367382"|"30175662"
22898|"506355"|"367383"|"30175481"
22898|"506356"|"367383"|"30175276"
22898|"506357"|"367383"|"30175383"
22898|"506361"|"367383"|"30175584"
699|"506355"|"367384"|"30175482"
699|"506356"|"367384"|"30175277"
699|"506359"|"367384"|"30175680"
699|"506361"|"367384"|"30175585"
7676|"506355"|"367386"|"30175483"
7676|"506356"|"367386"|"30175278"
7676|"506357"|"367386"|"30175384"
7676|"506361"|"367386"|"30175586"
8167|"506355"|"367387"|"30175484"
8167|"506356"|"367387"|"30175279"
8167|"506357"|"367387"|"30175385"
8167|"506361"|"367387"|"30175587"
24411|"506355"|"367390"|"30175562"
24411|"506356"|"367390"|"30175357"
24411|"506357"|"367390"|"30175423"
24411|"506361"|"367390"|"30175665"
8090|"506355"|"367391"|"30175485"
8090|"506356"|"367391"|"30175280"
8090|"506357"|"367391"|"30175387"
8090|"506361"|"367391"|"30175588"
1051|"506355"|"367392"|"30175486"
1051|"506356"|"367392"|"30175281"
1051|"506357"|"367392"|"30175388"
1051|"506361"|"367392"|"30175589"
62436|"506355"|"367393"|"30175487"
62436|"506356"|"367393"|"30175282"
62436|"506357"|"367393"|"30175392"
62436|"506361"|"367393"|"30175590"
59470|"506355"|"367395"|"30175488"
59470|"506356"|"367395"|"30175283"
59470|"506357"|"367395"|"30175396"
59470|"506361"|"367395"|"30175591"
16914|"506355"|"367396"|"30175489"
16914|"506356"|"367396"|"30175284"
16914|"506357"|"367396"|"30175397"
16914|"506361"|"367396"|"30175592"
14596|"506355"|"367397"|"30175490"
14596|"506356"|"367397"|"30175285"
14596|"506357"|"367397"|"30175399"
14596|"506361"|"367397"|"30175593"
3960|"506355"|"367398"|"30175569"
3960|"506356"|"367398"|"30175364"
3960|"506357"|"367398"|"30175426"
3960|"506361"|"367398"|"30175672"
5078|"506355"|"367402"|"30175566"
5078|"506356"|"367402"|"30175361"
5078|"506357"|"367402"|"30175409"
5078|"506361"|"367402"|"30175669"
37443|"506355"|"367409"|"30175491"
37443|"506356"|"367409"|"30175286"
37443|"506357"|"367409"|"30175405"
37443|"506361"|"367409"|"30175594"
22637|"506355"|"367410"|"30175574"
22637|"506356"|"367410"|"30175369"
22637|"506357"|"367410"|"30175428"
22637|"506361"|"367410"|"30175677"
62014|"506355"|"367411"|"30175575"
62014|"506356"|"367411"|"30175370"
62014|"506357"|"367411"|"30175429"
62014|"506361"|"367411"|"30175678"
21|"506355"|"367414"|"30175492"
21|"506356"|"367414"|"30175287"
21|"506357"|"367414"|"30175379"
21|"506361"|"367414"|"30175595"
506|"506355"|"367416"|"30175493"
506|"506356"|"367416"|"30175288"
506|"506357"|"367416"|"30175386"
506|"506361"|"367416"|"30175596"
91|"506355"|"367417"|"30175494"
91|"506356"|"367417"|"30175289"
91|"506357"|"367417"|"30175382"
91|"506361"|"367417"|"30175597"
177|"506355"|"367419"|"30175495"
177|"506356"|"367419"|"30175290"
177|"506357"|"367419"|"30175380"
177|"506361"|"367419"|"30175598"
1668|"506355"|"2760783"|"30175496"
1668|"506356"|"2760783"|"30175291"
1668|"506357"|"2760783"|"30175402"
1668|"506361"|"2760783"|"30175599"
2388|"506355"|"2760784"|"30175551"
2388|"506356"|"2760784"|"30175346"
2388|"506357"|"2760784"|"30175412"
2388|"506361"|"2760784"|"30175654"
918|"506355"|"2760785"|"30175554"
918|"506356"|"2760785"|"30175349"
918|"506357"|"2760785"|"30175415"
918|"506361"|"2760785"|"30175657"
8242|"506355"|"2760787"|"30175497"
8242|"506356"|"2760787"|"30175292"
8242|"506358"|"2760787"|"30175430"
8242|"506361"|"2760787"|"30175600"
8855|"506355"|"2760788"|"30175498"
8855|"506356"|"2760788"|"30175293"
8855|"506357"|"2760788"|"30175389"
8855|"506361"|"2760788"|"30175601"
8861|"506355"|"2760789"|"30175499"
8861|"506356"|"2760789"|"30175294"
8861|"506357"|"2760789"|"30175391"
8861|"506361"|"2760789"|"30175602"
30902|"506355"|"2760790"|"30175500"
30902|"506356"|"2760790"|"30175295"
30902|"506357"|"2760790"|"30175393"
30902|"506361"|"2760790"|"30175603"
2896|"506355"|"2760791"|"30175501"
2896|"506356"|"2760791"|"30175296"
2896|"506357"|"2760791"|"30175394"
2896|"506361"|"2760791"|"30175604"
791|"506355"|"2760792"|"30175502"
791|"506356"|"2760792"|"30175297"
791|"506357"|"2760792"|"30175395"
791|"506361"|"2760792"|"30175605"
5114|"506355"|"2760793"|"30175503"
5114|"506356"|"2760793"|"30175298"
5114|"506357"|"2760793"|"30175398"
5114|"506361"|"2760793"|"30175606"
132|"506355"|"2760794"|"30175504"
132|"506356"|"2760794"|"30175299"
132|"506357"|"2760794"|"30175401"
132|"506361"|"2760794"|"30175607"
430|"506355"|"2760795"|"30175505"
430|"506356"|"2760795"|"30175300"
430|"506357"|"2760795"|"30175400"
430|"506361"|"2760795"|"30175608"
8119|"506355"|"2760796"|"30175506"
8119|"506356"|"2760796"|"30175301"
8119|"506357"|"2760796"|"30175404"
8119|"506361"|"2760796"|"30175609"
144|"506355"|"2760797"|"30175507"
144|"506356"|"2760797"|"30175302"
144|"506360"|"2760797"|"30175434"
144|"506361"|"2760797"|"30175610"
29|"506355"|"2760798"|"30175508"
29|"506356"|"2760798"|"30175303"
29|"506360"|"2760798"|"30175435"
29|"506361"|"2760798"|"30175611"
471|"506355"|"2760799"|"30175509"
471|"506356"|"2760799"|"30175304"
471|"506360"|"2760799"|"30175436"
471|"506361"|"2760799"|"30175612"
21|"506355"|"2760800"|"30175510"
21|"506356"|"2760800"|"30175305"
21|"506360"|"2760800"|"30175444"
21|"506361"|"2760800"|"30175613"
1680|"506355"|"2760801"|"30175511"
1680|"506356"|"2760801"|"30175306"
1680|"506360"|"2760801"|"30175448"
1680|"506361"|"2760801"|"30175614"
759|"506355"|"2760802"|"30175512"
759|"506356"|"2760802"|"30175307"
759|"506360"|"2760802"|"30175449"
759|"506361"|"2760802"|"30175615"
14|"506355"|"2760803"|"30175513"
14|"506356"|"2760803"|"30175308"
14|"506360"|"2760803"|"30175451"
14|"506361"|"2760803"|"30175616"
21|"506355"|"2760804"|"30175514"
21|"506356"|"2760804"|"30175309"
21|"506360"|"2760804"|"30175461"
21|"506361"|"2760804"|"30175617"
5|"506355"|"2760805"|"30175515"
5|"506356"|"2760805"|"30175310"
5|"506360"|"2760805"|"30175462"
5|"506361"|"2760805"|"30175618"
8791|"506355"|"2760806"|"30175570"
