|||"Talf"|"33651901"|"12881435"
|||"Dip"|"33651775"|"12881853"
|||"Talf"|"33650778"|"12881586"
|||"Talf"|"33650727"|"12881525"
|||"Talf"|"33651184"|"12881769"
|||"Dip"|"33651912"|"12881442"
|||"Talf"|"33651054"|"12881295"
|||"Talf"|"33651466"|"12882038"
||"Riser"||"33650747"|"12881979"
|||"Dip"|"33651435"|"12882032"
|||"Talf"|"33650677"|"12881535"
|||"Talf"|"33651897"|"12881434"
|||"Talf"|"33650729"|"12881995"
|||"Dip"|"33651215"|"12881680"
|||"Rise"|"33650664"|"12881653"
|||"Dip"|"33651437"|"12882033"
|||"Rise"|"33651790"|"12881861"
|||"Dip"|"33651779"|"12881855"
|||"Dip"|"33650675"|"12881590"
|||"Dip"|"33650465"|"12881259"
|||"Rise"|"33650870"|"12881991"
|||"Rise"|"33651768"|"12881849"
|||"Talf"|"33651905"|"12881438"
|||"Talf"|"33651214"|"12881971"
|||"Talf"|"33650175"|"12881266"
|||"Talf"|"33651478"|"12882041"
|||"Talf"|"33651757"|"12881843"
|||"Talf"|"33650467"|"12881994"
|||"Talf"|"33651040"|"12881291"
|||"Talf"|"33651794"|"12881863"
|||"Rise"|"33651916"|"12881440"
|||"Talf"|"33650717"|"12881351"
|||"Talf"|"33651468"|"12882039"
|||"Rise"|"33650907"|"12881282"
|||"Dip"|"33651050"|"12881294"
|||"Talf"|"33651786"|"12881859"
|||"Talf"|"33651915"|"12881441"
|||"Dip"|"33651772"|"12881851"
|||"Dip"|"33650749"|"12881358"
|||"Talf"|"33650667"|"12881589"
|||"Rise"|"33650715"|"12881350"
|||"Talf"|"33651907"|"12881439"
|||"Talf"|"33650886"|"12881610"
|||"Talf"|"33650155"|"12881239"
|||"Dip"|"33650494"|"12881492"
|||"Rise"|"33651044"|"12881293"
|||"Rise"|"33651208"|"12881967"
|||"Talf"|"33651177"|"12881767"
|||"Talf"|"33650874"|"12881527"
|||"Talf"|"33651181"|"12881768"
|||"Talf"|"33651219"|"12881972"
|||"Talf"|"33651207"|"12881968"
|||"Talf"|"33650769"|"12881997"
|||"Talf"|"33651761"|"12881845"
|||"Talf"|"33650711"|"12881347"
|||"Talf"|"33651193"|"12881524"
|||"Talf"|"33650737"|"12881526"
|||"Talf"|"33650719"|"12881352"
|||"Talf"|"33650896"|"12881613"
|||"Talf"|"33650917"|"12881287"
|||"Dip"|"33650915"|"12881285"
|||"Talf"|"33650663"|"12881654"
|||"Dip"|"33650167"|"12881209"
|||"Talf"|"33651204"|"12881966"
|||"Dip"|"33650904"|"12881547"
