GROWER,FIELD,plot_name1,plot_name2,E,F,G,H,I,J,K,WKT,clay_content_percentage
Whitaker Farms,07 Beouf River,,,,,,,,,,"POLYGON ((-91.364133 33.423912, -91.36419 33.423915, -91.364137 33.423913, -91.364104 33.423905, -91.364062 33.423884, -91.36403 33.423854, -91.364008 33.423822, -91.363998 33.423798, -91.363992 33.423759, -91.363993 33.423694, -91.364079 33.422606, -91.364138 33.421606, -91.364152 33.421536, -91.364166 33.421516, -91.364202 33.421493, -91.36423 33.421487, -91.364409 33.421486, -91.367502 33.421623, -91.369923 33.421715, -91.370188 33.421721, -91.37023 33.421728, -91.370261 33.421739, -91.37029 33.421755, -91.37033 33.421792, -91.370353 33.42183, -91.370368 33.421874, -91.370377 33.421935, -91.370307 33.423811, -91.370297 33.423942, -91.370281 33.424013, -91.370251 33.424076, -91.37021 33.424118, -91.370157 33.424145, -91.370106 33.424153, -91.368038 33.424079, -91.364133 33.423912))",
Whitaker Farms,08 Beouf River,,,,,,,,,,"POLYGON ((-91.364207 33.421463, -91.364177 33.421448, -91.364155 33.421424, -91.364147 33.421392, -91.36421 33.420555, -91.364217 33.420502, -91.364227 33.420468, -91.364267 33.42042, -91.364344 33.420363, -91.36461 33.420086, -91.365035 33.419636, -91.365052 33.419603, -91.365047 33.419565, -91.36503 33.419544, -91.364796 33.41939, -91.364636 33.419294, -91.364494 33.419196, -91.364469 33.419175, -91.364458 33.419149, -91.364457 33.41913, -91.364463 33.419112, -91.364476 33.419095, -91.364515 33.419065, -91.364592 33.419029, -91.364658 33.419011, -91.364732 33.419001, -91.364794 33.418998, -91.370267 33.419201, -91.370343 33.419211, -91.370389 33.419233, -91.370421 33.419258, -91.370457 33.419306, -91.370473 33.419353, -91.370478 33.419394, -91.37047 33.419699, -91.370437 33.420414, -91.370398 33.421465, -91.37039 33.42151, -91.370375 33.42156, -91.370338 33.421625, -91.370286 33.421676, -91.370234 33.421701, -91.370196 33.42171, -91.36989 33.421701, -91.36432 33.421472, -91.364207 33.421463))",
Whitaker Farms,09 Beouf River,,,,,,,,,,"POLYGON ((-91.37025 33.416723, -91.370334 33.416734, -91.370388 33.416748, -91.370442 33.416781, -91.370487 33.416838, -91.370501 33.416865, -91.370508 33.416898, -91.3705 33.417017, -91.370518 33.417094, -91.370538 33.417226, -91.370468 33.418991, -91.37046 33.41905, -91.370439 33.419093, -91.370406 33.419135, -91.37036 33.419169, -91.370301 33.419182, -91.364839 33.418982, -91.364767 33.41898, -91.364711 33.418983, -91.364648 33.418993, -91.364523 33.419031, -91.364463 33.41906, -91.364393 33.419111, -91.364372 33.41912, -91.364298 33.419106, -91.364265 33.419111, -91.364237 33.419136, -91.363521 33.419907, -91.364078 33.420281, -91.364152 33.420324, -91.364185 33.420352, -91.364192 33.420373, -91.363942 33.423671, -91.36392 33.423734, -91.363893 33.423769, -91.363835 33.423812, -91.36375 33.423845, -91.36367 33.423863, -91.363558 33.423872, -91.362697 33.423843, -91.360144 33.423729, -91.359916 33.423722, -91.359798 33.423723, -91.359776 33.42372, -91.359757 33.423713, -91.359734 33.423691, -91.359727 33.423675, -91.359732 33.423657, -91.360019 33.423372, -91.366097 33.417004, -91.366143 33.416945, -91.366183 33.416892, -91.366199 33.416869, -91.366212 33.416839, -91.366237 33.416763, -91.366262 33.416723, -91.366294 33.4167, -91.366326 33.41669, -91.366356 33.416687, -91.366395 33.416687, -91.37025 33.416723))",
Whitaker Farms,10 Beouf River,,,,,,,,,,"POLYGON ((-91.366133 33.416869, -91.366142 33.416894, -91.36612 33.416923, -91.366084 33.416967, -91.359769 33.423567, -91.359724 33.423612, -91.359678 33.423651, -91.359631 33.423682, -91.359572 33.423706, -91.359518 33.423715, -91.359417 33.423715, -91.358903 33.423691, -91.358832 33.423684, -91.358797 33.423676, -91.358776 33.423656, -91.358773 33.423633, -91.358776 33.423611, -91.358755 33.41699, -91.358757 33.416945, -91.358765 33.416918, -91.35878 33.416898, -91.358806 33.416888, -91.35883 33.416885, -91.361272 33.41683, -91.362244 33.416822, -91.36606 33.41685, -91.366105 33.416857, -91.366133 33.416869))",
Whitaker Farms,11 Beouf River,,,,,,,,,,"POLYGON ((-91.358773 33.423499, -91.358779 33.423565, -91.358761 33.423652, -91.358739 33.423674, -91.358708 33.423684, -91.355605 33.423557, -91.355209 33.423544, -91.35431 33.423504, -91.354018 33.423484, -91.353923 33.423463, -91.353845 33.423431, -91.353792 33.4234, -91.353753 33.423369, -91.353729 33.423339, -91.35371 33.423307, -91.353694 33.423193, -91.35369 33.423064, -91.353735 33.419077, -91.353742 33.417865, -91.353746 33.417805, -91.353757 33.417746, -91.353806 33.417613, -91.353824 33.417361, -91.353842 33.41729, -91.353881 33.417181, -91.353965 33.417049, -91.354002 33.417021, -91.354052 33.417008, -91.355375 33.417002, -91.356129 33.416987, -91.356464 33.416986, -91.356619 33.416979, -91.356997 33.416951, -91.357782 33.416927, -91.358652 33.416905, -91.358685 33.416915, -91.358707 33.41694, -91.358723 33.416988, -91.35873 33.417051, -91.358773 33.423499))",
Whitaker Farms,12 Beouf River,,,,,,,,,,"POLYGON ((-91.368023 33.41196, -91.368207 33.411361, -91.368224 33.411341, -91.368248 33.411325, -91.368295 33.411308, -91.368366 33.411301, -91.370496 33.411298, -91.370561 33.411304, -91.370618 33.411332, -91.37065 33.411363, -91.370678 33.411419, -91.370689 33.411463, -91.370695 33.411556, -91.370568 33.416364, -91.370563 33.416428, -91.370552 33.416491, -91.370536 33.416539, -91.37051 33.416583, -91.370484 33.416615, -91.370454 33.416642, -91.370411 33.416667, -91.370374 33.41668, -91.370327 33.416689, -91.370287 33.416692, -91.370022 33.416683, -91.369469 33.416676, -91.368451 33.416668, -91.366931 33.416648, -91.366625 33.41665, -91.366589 33.416649, -91.366557 33.416638, -91.366535 33.416615, -91.366531 33.416594, -91.366539 33.416555, -91.366586 33.41641, -91.366599 33.416355, -91.366612 33.416222, -91.366608 33.416094, -91.366538 33.415454, -91.366538 33.415279, -91.36655 33.415177, -91.366568 33.415076, -91.366601 33.414947, -91.366645 33.414804, -91.366694 33.414664, -91.366798 33.414402, -91.367393 33.413167, -91.367711 33.412569, -91.367883 33.412269, -91.36799 33.412047, -91.368023 33.41196))",
Whitaker Farms,13 Beouf River,,,,,,,,,,"POLYGON ((-91.361952 33.41148, -91.361965 33.411429, -91.361979 33.411401, -91.362009 33.411366, -91.362052 33.411344, -91.36209 33.411334, -91.362153 33.411329, -91.367603 33.411307, -91.367683 33.411307, -91.367711 33.411315, -91.367731 33.411329, -91.367743 33.411347, -91.367747 33.41139, -91.367739 33.411433, -91.367706 33.411536, -91.367575 33.411839, -91.367468 33.412056, -91.367237 33.412482, -91.366881 33.413064, -91.36677 33.413269, -91.366688 33.413454, -91.366645 33.41357, -91.366499 33.413983, -91.366446 33.414152, -91.366384 33.414402, -91.366288 33.414847, -91.366264 33.415048, -91.366262 33.41517, -91.366272 33.415505, -91.366285 33.415732, -91.366282 33.416351, -91.366277 33.416407, -91.366257 33.41647, -91.36622 33.416509, -91.366188 33.416531, -91.366155 33.416545, -91.366121 33.416559, -91.366018 33.416577, -91.365865 33.416596, -91.365663 33.416619, -91.365275 33.416638, -91.362242 33.416626, -91.362104 33.416623, -91.362024 33.416595, -91.361964 33.416532, -91.361918 33.416455, -91.361887 33.416379, -91.361853 33.416251, -91.361839 33.416127, -91.361952 33.41148))",
Whitaker Farms,14 Beouf River,,,,,,,,,,"POLYGON ((-91.370424 33.398959, -91.370289 33.398955, -91.370503 33.398971, -91.370557 33.39898, -91.370591 33.398994, -91.370632 33.399025, -91.370648 33.399048, -91.370657 33.399075, -91.37049 33.405191, -91.370506 33.405385, -91.370534 33.405486, -91.370688 33.405878, -91.370729 33.406027, -91.370745 33.406123, -91.370754 33.406391, -91.370751 33.4067, -91.370698 33.408709, -91.370687 33.408962, -91.37068 33.409013, -91.370645 33.409106, -91.370602 33.409169, -91.370563 33.409202, -91.370525 33.409221, -91.370485 33.409234, -91.370356 33.409249, -91.36937 33.409285, -91.368751 33.409297, -91.368577 33.409296, -91.368536 33.40929, -91.368497 33.409278, -91.368448 33.409245, -91.368423 33.409216, -91.368392 33.409157, -91.368383 33.409129, -91.368372 33.409014, -91.368405 33.40748, -91.368413 33.406816, -91.368483 33.403729, -91.368526 33.402245, -91.368541 33.401361, -91.368579 33.400084, -91.368602 33.399103, -91.368622 33.399034, -91.368635 33.399012, -91.368659 33.398986, -91.368717 33.398956, -91.368778 33.398946, -91.369134 33.398938, -91.37025 33.398953, -91.370424 33.398959))",
Whitaker Farms,15 Beouf River,,,,,,,,,,"POLYGON ((-91.368139 33.405861, -91.368194 33.405864, -91.368225 33.405877, -91.36824 33.405893, -91.368253 33.405914, -91.368259 33.405954, -91.368258 33.406066, -91.36819 33.409185, -91.368188 33.409225, -91.36818 33.409252, -91.36816 33.409283, -91.368131 33.409305, -91.368098 33.409318, -91.368056 33.409324, -91.362214 33.409487, -91.362129 33.409489, -91.362082 33.409489, -91.362049 33.409476, -91.362022 33.40945, -91.362016 33.40934, -91.362055 33.406084, -91.36206 33.406064, -91.362077 33.406047, -91.362103 33.406042, -91.368139 33.405861))",
Whitaker Farms,16 Beouf River,,,,,,,,,,"POLYGON ((-91.368253 33.402363, -91.368293 33.402375, -91.368325 33.402397, -91.368336 33.40243, -91.368262 33.405691, -91.368255 33.405732, -91.36824 33.405766, -91.36822 33.405792, -91.368193 33.405817, -91.368162 33.40583, -91.368117 33.405837, -91.368053 33.40584, -91.362157 33.406019, -91.362112 33.406021, -91.362083 33.406017, -91.362071 33.406006, -91.362061 33.405982, -91.362062 33.405935, -91.362114 33.40243, -91.362117 33.402385, -91.36212 33.40236, -91.362126 33.40234, -91.362135 33.402314, -91.362155 33.402287, -91.362181 33.402264, -91.362224 33.402243, -91.362261 33.402235, -91.362301 33.402235, -91.362343 33.402236, -91.368253 33.402363))",
