GROWER,FIELD,plot_name1,plot_name2,E,F,G,H,I,J,K,WKT,clay_content_percentage
Whitaker Farms,17 Beouf River,,,,,,,,,,"POLYGON ((-91.368159 33.398787, -91.368253 33.398791, -91.368284 33.398794, -91.368313 33.398802, -91.368336 33.398817, -91.368357 33.398841, -91.36837 33.398868, -91.368376 33.398896, -91.368382 33.398935, -91.368337 33.402162, -91.368333 33.402204, -91.368328 33.402238, -91.368312 33.402268, -91.368279 33.402295, -91.368253 33.402313, -91.368217 33.402324, -91.368171 33.402326, -91.3622 33.402197, -91.362151 33.402191, -91.362126 33.40218, -91.36211 33.402167, -91.362102 33.402142, -91.362099 33.402077, -91.362151 33.398854, -91.362152 33.398805, -91.362155 33.398789, -91.362161 33.398777, -91.362179 33.398756, -91.362209 33.398731, -91.362243 33.398719, -91.362276 33.398714, -91.368159 33.398787))",
Whitaker Farms,18 Beouf River,,,,,,,,,,"POLYGON ((-91.363088 33.388781, -91.363165 33.388794, -91.363192 33.388808, -91.363214 33.388842, -91.363222 33.388886, -91.363215 33.389354, -91.363206 33.389683, -91.363223 33.389861, -91.363249 33.389993, -91.363538 33.390853, -91.363756 33.391492, -91.36382 33.391653, -91.364043 33.392086, -91.364353 33.392669, -91.364601 33.393147, -91.36485 33.393614, -91.364963 33.393795, -91.365073 33.393979, -91.365157 33.394105, -91.36543 33.394451, -91.365663 33.39473, -91.365984 33.395105, -91.366142 33.395279, -91.367522 33.396601, -91.367638 33.396708, -91.367748 33.396789, -91.367917 33.396906, -91.368072 33.396997, -91.368233 33.397091, -91.368484 33.397218, -91.368842 33.397395, -91.369669 33.39777, -91.370354 33.398073, -91.370412 33.398103, -91.370468 33.398141, -91.37049 33.398169, -91.370516 33.39821, -91.370539 33.398269, -91.370543 33.398363, -91.370533 33.398549, -91.370518 33.398609, -91.3705 33.398643, -91.370455 33.398692, -91.370421 33.398714, -91.370352 33.398737, -91.370262 33.398749, -91.36851 33.398736, -91.367876 33.398742, -91.3677 33.39875, -91.367463 33.39875, -91.362327 33.398684, -91.362242 33.398676, -91.362205 33.398658, -91.362184 33.398636, -91.362168 33.398608, -91.362163 33.398557, -91.362163 33.398423, -91.362324 33.388898, -91.362331 33.388853, -91.362353 33.388811, -91.362366 33.388798, -91.362393 33.388783, -91.362427 33.388774, -91.362796 33.38877, -91.362995 33.388774, -91.363088 33.388781))",
Whitaker Farms,19 Beouf River,,,,,,,,,,"POLYGON ((-91.363271 33.388845, -91.363284 33.388816, -91.363304 33.388789, -91.363339 33.388762, -91.363374 33.38875, -91.363421 33.388747, -91.363452 33.388751, -91.363502 33.388766, -91.363542 33.388784, -91.363606 33.388826, -91.363776 33.388957, -91.363918 33.389102, -91.36394 33.389132, -91.364 33.389251, -91.364215 33.389529, -91.366315 33.392367, -91.366801 33.393016, -91.367303 33.393703, -91.367807 33.394375, -91.368375 33.395152, -91.368427 33.395213, -91.368454 33.395235, -91.368484 33.395251, -91.368526 33.395264, -91.369209 33.395254, -91.370305 33.395254, -91.370571 33.395258, -91.370616 33.395261, -91.370646 33.39527, -91.370682 33.395289, -91.370723 33.395329, -91.370744 33.395367, -91.370755 33.395398, -91.370771 33.39547, -91.370773 33.395541, -91.370744 33.396184, -91.370731 33.396226, -91.370702 33.396271, -91.370642 33.396326, -91.370553 33.396389, -91.370535 33.396417, -91.370527 33.396442, -91.370549 33.396752, -91.370556 33.397212, -91.370548 33.397932, -91.370545 33.397961, -91.370534 33.397987, -91.370496 33.398021, -91.370455 33.398038, -91.370391 33.398043, -91.370348 33.398035, -91.370272 33.398009, -91.36955 33.397687, -91.368792 33.39734, -91.368625 33.39726, -91.36838 33.397134, -91.36803 33.39693, -91.367827 33.396795, -91.367722 33.396717, -91.367334 33.396369, -91.366706 33.395764, -91.366131 33.395217, -91.365714 33.39474, -91.365542 33.394535, -91.36528 33.394197, -91.365162 33.394035, -91.365041 33.393851, -91.364907 33.393624, -91.363941 33.39181, -91.363816 33.391531, -91.36372 33.391267, -91.36336 33.390201, -91.363298 33.390001, -91.363276 33.389911, -91.363257 33.389766, -91.363249 33.389558, -91.363271 33.388845))",
Whitaker Farms,20 Beouf River,,,,,,,,,,"POLYGON ((-91.366254 33.391776, -91.366246 33.391748, -91.366246 33.391731, -91.366259 33.391718, -91.366295 33.391704, -91.366717 33.391685, -91.368208 33.39164, -91.370751 33.391552, -91.370818 33.391561, -91.370851 33.391579, -91.370873 33.391603, -91.370882 33.391631, -91.370887 33.39168, -91.3708 33.395057, -91.370788 33.395105, -91.370755 33.39515, -91.370691 33.395199, -91.370651 33.395216, -91.370614 33.395223, -91.368914 33.395226, -91.368835 33.395216, -91.368801 33.395204, -91.368761 33.39518, -91.368726 33.39515, -91.3687 33.395106, -91.366254 33.391776))",
Whitaker Farms,21 Beouf River,,,,,,,,,,"POLYGON ((-91.364217 33.388405, -91.364211 33.388344, -91.364215 33.388311, -91.364222 33.388291, -91.364237 33.388275, -91.364264 33.388261, -91.364357 33.388238, -91.36449 33.38819, -91.364605 33.388179, -91.364998 33.388193, -91.365052 33.388188, -91.365106 33.388176, -91.365286 33.388118, -91.365354 33.388104, -91.365425 33.388091, -91.365514 33.388086, -91.370495 33.388128, -91.37064 33.388137, -91.370694 33.38815, -91.370734 33.388165, -91.370769 33.388185, -91.370802 33.388218, -91.370814 33.38824, -91.370825 33.388288, -91.370844 33.38851, -91.370849 33.388806, -91.370844 33.389085, -91.370813 33.389674, -91.370812 33.389992, -91.370801 33.390401, -91.370809 33.390471, -91.37082 33.390514, -91.370883 33.390645, -91.370901 33.390707, -91.370885 33.391421, -91.370885 33.391451, -91.370879 33.391481, -91.37086 33.391504, -91.370833 33.39152, -91.370793 33.391529, -91.366325 33.39168, -91.366281 33.391681, -91.366239 33.391678, -91.366205 33.391666, -91.366173 33.39165, -91.366141 33.391625, -91.36425 33.389046, -91.364235 33.389012, -91.36423 33.388979, -91.364236 33.388949, -91.364267 33.388881, -91.364275 33.388836, -91.364242 33.388679, -91.364234 33.388522, -91.364212 33.38838, -91.364217 33.388405))",
Whitaker Farms,22 Beouf River,,,,,,,,,,"POLYGON ((-91.359987 33.413232, -91.361626 33.413291, -91.361667 33.413306, -91.361704 33.413332, -91.361725 33.41336, -91.361733 33.413385, -91.361733 33.413608, -91.361684 33.414922, -91.361677 33.416147, -91.36167 33.416224, -91.361568 33.416501, -91.361543 33.416605, -91.361513 33.416633, -91.361499 33.416638, -91.361479 33.416639, -91.361435 33.416637, -91.361058 33.416641, -91.360881 33.416648, -91.36049 33.416651, -91.360266 33.41666, -91.359968 33.416662, -91.357615 33.416726, -91.357059 33.416734, -91.356519 33.416749, -91.356413 33.416748, -91.355576 33.41678, -91.354135 33.416814, -91.35406 33.416811, -91.354024 33.4168, -91.353985 33.416775, -91.353967 33.416753, -91.353947 33.416694, -91.353932 33.416618, -91.353915 33.416458, -91.353921 33.415737, -91.353939 33.415184, -91.353973 33.413218, -91.353989 33.413154, -91.354015 33.413123, -91.354031 33.413113, -91.354055 33.413106, -91.354089 33.413104, -91.354321 33.413111, -91.355214 33.413127, -91.356096 33.413152, -91.356986 33.413163, -91.357576 33.41318, -91.359264 33.413212, -91.359987 33.413232))",
Whitaker Farms,23 Beouf River,,,,,,,,,,"POLYGON ((-91.361742 33.412988, -91.361733 33.413065, -91.361716 33.413096, -91.361696 33.413116, -91.36165 33.41314, -91.361605 33.41315, -91.361558 33.413154, -91.361053 33.413152, -91.359296 33.413111, -91.358105 33.413078, -91.354074 33.413001, -91.354033 33.412999, -91.354011 33.412993, -91.353985 33.412975, -91.353968 33.41294, -91.353976 33.412489, -91.353984 33.410816, -91.35399 33.410538, -91.353986 33.41002, -91.353991 33.40994, -91.353998 33.409902, -91.354008 33.409878, -91.354039 33.409846, -91.354058 33.409838, -91.354085 33.409833, -91.354317 33.409831, -91.35489 33.409817, -91.356653 33.409767, -91.356914 33.409764, -91.357871 33.409736, -91.360391 33.409672, -91.361622 33.409649, -91.361701 33.409655, -91.361756 33.409671, -91.361804 33.409707, -91.361821 33.409741, -91.361827 33.409769, -91.361837 33.409916, -91.361764 33.411976, -91.361741 33.413027, -91.361742 33.412988))",
Whitaker Farms,24 Beouf River,,,,,,,,,,"POLYGON ((-91.361813 33.40938, -91.361801 33.409431, -91.361784 33.409457, -91.361746 33.409492, -91.361719 33.409505, -91.361687 33.409514, -91.361599 33.409523, -91.354082 33.409732, -91.354058 33.409725, -91.354026 33.409697, -91.35401 33.409659, -91.354007 33.409447, -91.354015 33.409078, -91.354018 33.40831, -91.354036 33.408005, -91.354031 33.407803, -91.354032 33.407319, -91.354041 33.407012, -91.354043 33.406718, -91.354054 33.406183, -91.35406 33.406135, -91.354074 33.406098, -91.354114 33.406064, -91.354171 33.406052, -91.354254 33.406046, -91.36165 33.406041, -91.36174 33.406048, -91.361796 33.406065, -91.361823 33.406084, -91.361845 33.406109, -91.361859 33.406138, -91.361869 33.406182, -91.361846 33.407902, -91.361838 33.408941, -91.361812 33.409388, -91.361813 33.40938))",
Whitaker Farms,25 Beouf River,,,,,,,,,,"POLYGON ((-91.36188 33.405862, -91.361875 33.405917, -91.361864 33.405951, -91.361845 33.40598, -91.361819 33.406004, -91.361801 33.406012, -91.361762 33.406023, -91.361479 33.40603, -91.354216 33.406025, -91.354168 33.406024, -91.35413 33.406018, -91.354098 33.406, -91.354064 33.405967, -91.354054 33.40594, -91.354049 33.405868, -91.35408 33.404382, -91.354101 33.40266, -91.354101 33.402192, -91.354108 33.40214, -91.354124 33.402112, -91.354147 33.40209, -91.35417 33.402078, -91.354189 33.402074, -91.354387 33.402072, -91.361556 33.402213, -91.361753 33.402214, -91.361805 33.402218, -91.361824 33.402225, -91.36185 33.40224, -91.361879 33.402267, -91.361905 33.402325, -91.361921 33.402521, -91.36193 33.402796, -91.361934 33.403171, -91.361929 33.403501, -91.361892 33.405072, -91.36188 33.405862))",
Whitaker Farms,26 Beouf River,,,,,,,,,,"POLYGON ((-91.361913 33.401785, -91.361891 33.401876, -91.36186 33.401962, -91.361841 33.401997, -91.36182 33.40202, -91.361766 33.402055, -91.361722 33.402069, -91.361688 33.402074, -91.361548 33.402077, -91.357986 33.40199, -91.356379 33.40195, -91.354641 33.401885, -91.354382 33.401866, -91.354299 33.401856, -91.354233 33.401846, -91.354181 33.401832, -91.354145 33.401815, -91.354112 33.401792, -91.354097 33.401777, -91.354083 33.401756, -91.354068 33.401714, -91.354064 33.401661, -91.354071 33.398911, -91.354071 33.398849, -91.354083 33.39879, -91.354097 33.398754, -91.354119 33.398731, -91.354137 33.39872, -91.354156 33.398716, -91.354204 33.398712, -91.35443 33.398709, -91.361725 33.398698, -91.361804 33.398704, -91.361853 33.398718, -91.361887 33.398734, -91.361916 33.398754, -91.361952 33.398799, -91.361966 33.398843, -91.361971 33.39892, -91.361946 33.400449, -91.361936 33.401541, -91.361913 33.401785))",
Whitaker Farms,27 Beouf River,,,,,,,,,,"POLYGON ((-91.361954 33.398623, -91.361936 33.398644, -91.361905 33.398665, -91.361838 33.398683, -91.361741 33.398686, -91.361319 33.398682, -91.354427 33.39869, -91.354299 33.398688, -91.354232 33.398685, -91.354192 33.398682, -91.35415 33.39867, -91.354126 33.398651, -91.354113 33.398626, -91.354098 33.398569, -91.354092 33.398477, -91.354124 33.395261, -91.354122 33.395199, -91.354125 33.395176, -91.354135 33.395158, -91.354147 33.395142, -91.354166 33.39513, -91.35419 33.39512, -91.354248 33.395109, -91.354311 33.395107, -91.361497 33.395181, -91.361877 33.395189, -91.36193 33.395195, -91.361968 33.395207, -91.362009 33.39523, -91.362027 33.395252, -91.362039 33.395288, -91.362042 33.395328, -91.362008 33.397386, -91.361973 33.398575, -91.361954 33.398623))",
Whitaker Farms,28 Beouf River,,,,,,,,,,"POLYGON ((-91.362057 33.395033, -91.362038 33.395054, -91.361996 33.395072, -91.361912 33.39508, -91.360437 33.395065, -91.360369 33.395048, -91.360335 33.395044, -91.360229 33.395062, -91.360255 33.395062, -91.360125 33.395063, -91.359013 33.395054, -91.358031 33.395041, -91.357986 33.395037, -91.357963 33.39503, -91.357936 33.395015, -91.357923 33.394997, -91.357916 33.394975, -91.357919 33.394199, -91.357969 33.391533, -91.357995 33.38937, -91.358014 33.388486, -91.358027 33.388318, -91.358043 33.388242, -91.35807 33.388198, -91.358095 33.388177, -91.358124 33.388162, -91.358179 33.388148, -91.358304 33.388146, -91.358416 33.388154, -91.358546 33.388172, -91.358599 33.388188, -91.358657 33.38822, -91.358695 33.388253, -91.358732 33.388302, -91.358756 33.388359, -91.358777 33.388435, -91.358825 33.388707, -91.35913 33.390236, -91.35915 33.390286, -91.359201 33.390364, -91.359534 33.390759, -91.359635 33.390849, -91.359704 33.3909, -91.360065 33.391124, -91.360171 33.391195, -91.360269 33.39127, -91.360446 33.391428, -91.36058 33.391539, -91.360676 33.391602, -91.360775 33.391659, -91.360878 33.391708, -91.361007 33.391754, -91.361616 33.391934, -91.361884 33.392019, -91.361962 33.39205, -91.361995 33.39207, -91.36203 33.392102, -91.362051 33.39213, -91.362081 33.39221, -91.36209 33.392262, -91.362098 33.392351, -91.362093 33.393031, -91.362077 33.393674, -91.362062 33.395021, -91.362057 33.395033))",
Whitaker Farms,29 Beouf River,,,,,,,,,,"POLYGON ((-91.362235 33.391788, -91.362214 33.391833, -91.362166 33.391888, -91.362122 33.39191, -91.362089 33.391913, -91.362065 33.391909, -91.361863 33.391809, -91.36174 33.391758, -91.361604 33.391716, -91.361418 33.391675, -91.361211 33.391622, -91.361024 33.391553, -91.360926 33.391508, -91.360815 33.391453, -91.360706 33.391387, -91.360656 33.391347, -91.360495 33.391195, -91.36029 33.391035, -91.360068 33.390884, -91.359828 33.39073, -91.359747 33.390659, -91.359703 33.390605, -91.359643 33.390505, -91.359605 33.390416, -91.359546 33.390226, -91.359528 33.390143, -91.359378 33.389047, -91.359357 33.388854, -91.359341 33.388525, -91.359341 33.38836, -91.359348 33.388275, -91.359373 33.388178, -91.359426 33.388063, -91.359444 33.388034, -91.359476 33.388007, -91.359543 33.387994, -91.359742 33.387992, -91.361634 33.38802, -91.361796 33.388023, -91.361943 33.388033, -91.361991 33.388041, -91.362031 33.388055, -91.36219 33.38815, -91.362213 33.388167, -91.362238 33.388197, -91.362259 33.388235, -91.362275 33.388291, -91.362275 33.388391, -91.362241 33.391765, -91.362233 33.391791, -91.362235 33.391788))",
