"mixed"|"21261971"|"16735593"
"mixed"|"21261972"|"16735646"
"mixed"|"21261973"|"16735596"
"mixed"|"21261974"|"16735642"
"mixed"|"21261975"|"16735597"
"mixed"|"21261976"|"16735600"
"smectitic"|"21261977"|"16735670"
"mixed"|"21261978"|"16735668"
"smectitic"|"21261979"|"16735592"
"mixed"|"21261980"|"16735606"
"mixed"|"21261981"|"16735641"
"smectitic"|"21261982"|"16735676"
"mixed"|"21261983"|"16735677"
"mixed"|"21261984"|"16735613"
"mixed"|"21261985"|"16735659"
"mixed"|"21261986"|"16735658"
"mixed"|"21261987"|"16735598"
"mixed"|"21261988"|"16735604"
"mixed"|"21261989"|"16735655"
"mixed"|"21261990"|"16735610"
"siliceous"|"21261991"|"16735619"
"siliceous"|"21261992"|"16735620"
"mixed"|"21261993"|"16735648"
"mixed"|"21261994"|"16735627"
"smectitic"|"21261995"|"16735664"
"smectitic"|"21261996"|"16735591"
"mixed"|"21261997"|"16735595"
"smectitic"|"21261997"|"16735594"
"mixed"|"21261998"|"16735692"
"mixed"|"21261999"|"16735650"
"mixed"|"21262000"|"16735599"
"mixed"|"21262001"|"16735649"
"smectitic"|"21262002"|"16735673"
"smectitic"|"21262003"|"16735669"
"smectitic"|"21262004"|"16735667"
"mixed"|"21262005"|"16735666"
"mixed"|"21262006"|"16735601"
"mixed"|"21262007"|"16735663"
"smectitic"|"21262008"|"16735611"
"smectitic"|"21262009"|"16735679"
"smectitic"|"21262010"|"16735616"
"mixed"|"21262011"|"16735615"
"smectitic"|"21262012"|"16735618"
"smectitic"|"21262013"|"16735682"
"mixed"|"21262014"|"16735683"
"mixed"|"21262015"|"16735624"
"mixed"|"21262016"|"16735691"
"smectitic"|"21262017"|"16735626"
"mixed"|"21262018"|"16735687"
"smectitic"|"21262019"|"16735629"
"smectitic"|"21262020"|"16735684"
"smectitic"|"21262021"|"16735685"
"mixed"|"21262022"|"16735686"
"mixed"|"21262023"|"16735630"
"mixed"|"21262024"|"16735647"
"mixed"|"21262025"|"16735645"
"mixed"|"21262026"|"16735635"
"mixed"|"21262027"|"16735602"
"smectitic"|"21262027"|"16735603"
